name,url,profile,additional_urls
Sarah Billington,https://cee.stanford.edu/people/sarah-billington,"Main content start UPS Foundation Professor, Professor of Civil and Environmental Engineering and Senior Fellow at the Woods Institute for the Environment Sarah Billington UPS Foundation Professor, Professor of Civil and Environmental Engineering and Senior Fellow at the Woods Institute for the Environment My research program focuses on the impact of sustainable building design and materials on human wellbeing. This work includes developing design tools to quantify nature experience in buildings, understanding and increasing wellbeing in and through affordable housing, and identifying the risk of forced labor in building material supply chains through fingerprinting and AI methods. The goal of my research program is to provide building occupants, designers, and owners tools to achieve built environments that meet their needs for environmental and social sustainability and to design interventions that support human wellbeing over time while preserving privacy. While no longer active in this area, my group has a long history of expertise in the design and evaluation of sustainable, durable construction materials including bio-based composites and ductile cement-based composites. Education PhD, University of Texas at Austin, Structural Engineering  (1997) MSE, University of Texas at Austin, Structural Engineering  (1994) BSE, Princeton University, Civil Engineering & Operations Research  (1990) Contact (650) 723-3921 billingt@stanford.edu Mail Code 4020 Links Billington Lab View Full Stanford Profile Back to Top",https://www.billingtonlab.org
Alexandria Boehm,https://cee.stanford.edu/people/alexandria-boehm,"Main content start Richard and Rhoda Goldman Professor of Environmental Studies, Professor of Oceans and Senior Fellow at the Woods Institute for the Environment Alexandria Boehm Richard and Rhoda Goldman Professor of Environmental Studies, Professor of Oceans and Senior Fellow at the Woods Institute for the Environment I am interested in pathogens in the environment including their sources, fate, and transport in natural and engineered systems. I am interested in understanding of how pathogens are transmitted to humans through contact with water, feces, and contaminated surfaces. My research is focused on key problems in both developed and developing countries with the overarching goal of designing and testing novel interventions and technologies for reducing the burden of disease. I am also interested broadly in coastal water quality where my work addresses the sources, transformation, transport, and ecology of biocolloids - specifically fecal indicator organisms, DNA, pathogens, and phytoplankton - as well as sources and fate of nitrogen. This knowledge is crucial to formulating new management policies and engineering practices that protect human and ecosystem health at the coastal margins. Education BS, California Institute of Technology, Engineering & Applied Science  (1996) MS, UC Irvine, Environmental Engineering  (1997) PhD, UC Irvine (2000) Contact aboehm@stanford.edu Mail Code 4020 Links https://web.stanford.edu/~aboehm View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~aboehm
Michael Lepech,https://cee.stanford.edu/people/michael-lepech,"Main content start Professor of Civil and Environmental Engineering and Senior Fellow at the Woods Institute for the Environment Michael Lepech Professor of Civil and Environmental Engineering and Senior Fellow at the Woods Institute for the Environment Unsustainable energy and material consumption, waste production, and emissions are some of today’s most pressing global concerns.  To address these concerns, civil engineers are now designing facilities that, for example, passively generate power, reuse waste, and are carbon neutral.   These designs are based foremost on longstanding engineering theory.  Yet woven within this basic knowledge must be new science and new technologies, which advance the field of civil engineering to the forefront of sustainability-focused design. My research develops fundamental engineering design concepts, models, and tools that are tightly integrated with quantitative sustainability assessment and service life modeling across length scales, from material scales to system scales, and throughout the early design, project engineering, construction, and operation life cycle phases of constructed facilities. My research follows the Sustainable Integrated Materials, Structures, Systems (SIMSS) framework. SIMSS is a tool to guide the multi-scale design of sustainable built environments, including multi-physics modeling informed by infrastructure sensing data and computational learning and feedback algorithms to support advanced digital-twinning of engineered systems.  Thus, my research applies SIMMS through two complementary research thrusts;  (1) developing high-fidelity quantitative sustainability assessment methods that enable civil engineers to quickly and probabilistically measure sustainability indicators, and (2) creating multi-scale, fundamental engineering tools that integrate with sustainability assessment and facilitate setting and meeting sustainability targets throughout the life cycle of constructed facilities. Most recently, my research forms the foundation of the newly created Stanford Center at the Incheon Global Campus (SCIGC) in South Korea, a university-wide research center examining the potential for smart city technologies to enhance the sustainability of urban areas.  Located in the smart city of Songdo, Incheon, South Korea, SCIGC is a unique global platform to (i) advance research on the multi-scale design, construction, and operation of sustainable built environments, (ii) demonstrate to cities worldwide the scalable opportunities for new urban technologies (e.g., dense urban sensing networks, dynamic traffic management, autonomous vehicles), and (iii) improve the sustainability and innovative capacity of increasingly smarter cities globally. With an engineering background in civil and environmental engineering and material science (BSE, MSE, PhD), and business training in strategy and finance (MBA), I continue to explore to the intersection of entrepreneurship education, innovation capital training, and the potential of startups to more rapidly transfer and scale technologies to solve some of the world's most challenging problems. Education MBA, University of Michigan, Finance and Strategy  (2008) PhD, University of Michigan, Civil and Environmental Engineering  (2006) Contact (650) 724-9459 mlepech@stanford.edu Mail Code 4020 Links Stanford Center for Sustainable Development and Global Competitiveness Stanford Center at the Incheon Global Campus in South Korea View Full Stanford Profile Back to Top",https://sdgc.stanford.edu/
Iro Armeni,https://cee.stanford.edu/people/iro-armeni,"Main content start Assistant Professor of Civil and Environmental Engineering Iro Armeni Assistant Professor of Civil and Environmental Engineering Iro Armeni is Assistant Professor of Civil and Environmental Engineering. She is interested in interdisciplinary research between Architecture, Civil Engineering, and Visual Machine Perception. Iro focuses on developing quantitative and data-driven methods that learn from real-world visual data to generate, predict, and simulate new or renewed built environments that place the human in the center. Iro's goal is to create sustainable, inclusive, and adaptive built environments that can support our current and future physical and digital needs. As part of her research vision, she is particularly interested in creating spaces that blend from the 100% physical (real reality) to the 100% digital (virtual reality) and anything in between, with the use of Mixed Reality. Iro completed her PhD at Stanford University on August 2020, Civil and Environmental Engineering Department, with a PhD minor at the Computer Science Department. Afterwards she was a Postdoctoral Fellow at ETH Zurich working at both the Computer Science and Civil, Environmental, and Geomatic Engineering Departments (2023). Prior to her PhD, she received an MSc in Computer Science (Ionian University-2013), an MEng in Architecture and Digital Design (University of Tokyo-2011), and a Diploma in Architectural Engineering (National Technical University of Athens-2009). She has also worked as an architect and consultant for both the private and public sector. Iro is the recipient of the ETH Zurich Postdoctoral Fellowship, the Google PhD Fellowship, and the MEXT Scholarship. Education Ph.D., Stanford University, Civil and Environmental Engineering Minor in Computer Science  (2020) MSc., Ionian University, Computer Science  (2013) MEng., University of Tokyo, Architectural Engineering  (2011) Diploma, National Technical University of Athens, Architectural Engineering  (2009) Contact iarmeni@stanford.edu Mail Code 9025 Links Gradient Spaces Research Group Personal Website Google Scholar View Full Stanford Profile Back to Top",https://gradientspaces.stanford.edu/
Christine M Baker,https://cee.stanford.edu/people/christine-baker,"Main content start Assistant Professor of Civil and Environmental Engineering Christine M Baker Assistant Professor of Civil and Environmental Engineering Baker’s research examines processes at the land-ocean interface, a highly dynamic region with fragile ecosystems, progressively vulnerable communities, and coastal hazards further magnified by a changing climate. Her research integrates laboratory experimentation with numerical modeling and remotely sensed field observations to build our fundamental understanding of hydrodynamics in coastal regions. The goals of her research include informing predictions of coastal water quality, shoreline evolution, and other coastal hazards and improving coastal resiliency in changing environments. Her ongoing and planned projects include studying wave transformation in shallow waters, surf-shelf transport driven by eddy and rip current dynamics, wave-driven sediment transport, and coupled hydro- and morphodynamics in the context of extreme events. Baker completed a bachelors degrees in Civil Engineering from Oregon State University and a Masters and PhD in Civil & Environmental Engineering from the University of Washington. Contact bakercm@stanford.edu Mail Code 4020 Links Lab Website Bob & Norma Street Environmental Fluid Mechanics Lab View Full Stanford Profile Back to Top",https://nearshore.stanford.edu/
Jack Baker,https://cee.stanford.edu/people/jack-baker,"Main content start William Alden Campbell and Martha Campbell Professor, Associate Dean for Faculty Affairs and Professor of Civil and Environmental Engineering Jack Baker William Alden Campbell and Martha Campbell Professor, Associate Dean for Faculty Affairs and Professor of Civil and Environmental Engineering Jack Baker is a Professor of Civil & Environmental Engineering and Associate Dean for Faculty Affairs in the Stanford Doerr School of Sustainability. He uses probabilistic and statistical tools to quantify and manage disaster risk and resilience. He has made contributions to risk analysis of spatially distributed systems, characterization of earthquake ground motions, and simulation of post-disaster recovery. He is an author of the textbook Seismic Hazard and Risk Analysis, Director of the Stanford Urban Resilience Initiative, Editor-in-Chief of Earthquake Spectra, and a Co-Founder of Haselton Baker Risk Group. Prior to Stanford, Professor Baker was a visiting researcher at the Swiss Federal Institute of Technology (ETH Zurich). He has degrees in Structural Engineering (Stanford, M.S. 2002, Ph.D. 2005), Statistics (Stanford, M.S. 2004) and Mathematics/Physics (Whitman College, B.A. 2000). His awards include the William B. Joyner Lecture Award from the Seismological Society of America and Earthquake Engineering Research Institute, the Shah Family Innovation Prize from the Earthquake Engineering Research Institute, the CAREER Award from the National Science Foundation, the Early Achievement Research Award from the International Association for Structural Safety and Reliability, the Walter L. Huber Prize from the American Society of Civil Engineers, the Helmut Krawinkler Award from the Structural Engineers Association of Northern California, and the Eugene L. Grant Award for excellence in teaching from Stanford. Education Ph.D., Stanford, Civil & Environmental Engineering  (2005) M.A., Stanford, Statistics  (2004) M.S., Stanford, Civil & Environmental Engineering  (2002) B.A., Whitman College, Mathematics/Physics  (2000) Contact bakerjw@stanford.edu Mail Code 4020 Links Research Website Google Scholar View Full Stanford Profile Back to Top",https://www.jackwbaker.com
Sarah Billington,https://cee.stanford.edu/people/sarah-billington,"Main content start UPS Foundation Professor, Professor of Civil and Environmental Engineering and Senior Fellow at the Woods Institute for the Environment Sarah Billington UPS Foundation Professor, Professor of Civil and Environmental Engineering and Senior Fellow at the Woods Institute for the Environment My research program focuses on the impact of sustainable building design and materials on human wellbeing. This work includes developing design tools to quantify nature experience in buildings, understanding and increasing wellbeing in and through affordable housing, and identifying the risk of forced labor in building material supply chains through fingerprinting and AI methods. The goal of my research program is to provide building occupants, designers, and owners tools to achieve built environments that meet their needs for environmental and social sustainability and to design interventions that support human wellbeing over time while preserving privacy. While no longer active in this area, my group has a long history of expertise in the design and evaluation of sustainable, durable construction materials including bio-based composites and ductile cement-based composites. Education PhD, University of Texas at Austin, Structural Engineering  (1997) MSE, University of Texas at Austin, Structural Engineering  (1994) BSE, Princeton University, Civil Engineering & Operations Research  (1990) Contact (650) 723-3921 billingt@stanford.edu Mail Code 4020 Links Billington Lab View Full Stanford Profile Back to Top",https://www.billingtonlab.org
Alexandria Boehm,https://cee.stanford.edu/people/alexandria-boehm,"Main content start Richard and Rhoda Goldman Professor of Environmental Studies, Professor of Oceans and Senior Fellow at the Woods Institute for the Environment Alexandria Boehm Richard and Rhoda Goldman Professor of Environmental Studies, Professor of Oceans and Senior Fellow at the Woods Institute for the Environment I am interested in pathogens in the environment including their sources, fate, and transport in natural and engineered systems. I am interested in understanding of how pathogens are transmitted to humans through contact with water, feces, and contaminated surfaces. My research is focused on key problems in both developed and developing countries with the overarching goal of designing and testing novel interventions and technologies for reducing the burden of disease. I am also interested broadly in coastal water quality where my work addresses the sources, transformation, transport, and ecology of biocolloids - specifically fecal indicator organisms, DNA, pathogens, and phytoplankton - as well as sources and fate of nitrogen. This knowledge is crucial to formulating new management policies and engineering practices that protect human and ecosystem health at the coastal margins. Education BS, California Institute of Technology, Engineering & Applied Science  (1996) MS, UC Irvine, Environmental Engineering  (1997) PhD, UC Irvine (2000) Contact aboehm@stanford.edu Mail Code 4020 Links https://web.stanford.edu/~aboehm View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~aboehm
Ronaldo Borja,https://cee.stanford.edu/people/ronaldo-borja,"Main content start Professor of Civil and Environmental Engineering Ronaldo Borja Professor of Civil and Environmental Engineering Borja works in computational mechanics, geomechanics, and geosciences. His research includes developing strain localization and failure models for soils and rocks, modeling coupled solid deformation/fluid flow phenomena in porous materials, and finite element modeling of faulting, cracking, and fracturing in quasi-brittle materials. Education PhD, Stanford University (1984) Contact (650) 723-3664 borja@stanford.edu Mail Code 4020 Links https://web.stanford.edu/~borja View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~borja
Jenna Davis,https://cee.stanford.edu/people/jenna-davis,"Main content start Professor of Civil and Environmental Engineering, of Environmental Social Sciences and Higgins-Magid Senior Fellow at the Woods Institute Jenna Davis Professor of Civil and Environmental Engineering, of Environmental Social Sciences and Higgins-Magid Senior Fellow at the Woods Institute Jennifer (“Jenna”) Davis is Professor of Civil and Environmental Engineering and the Higgins-Magid Senior Fellow at the Woods Institute for the Environment, both of Stanford University. She also heads the Stanford Program on Water, Health & Development. Professor Davis’ research and teaching is focused at the nexus of water, economic development and public health, particularly in low- and middle-income countries. She has conducted field research in more than 20 countries, including most recently Zambia, Bangladesh, and Uganda. Education PhD, UNC-Chapel Hill, Environmental Science & Engineering MSPH, UNC-Chapel Hill, Public Health Contact (650) 725-9170 jennadavis@stanford.edu Mail Code 4020 Links Davis lab group website Stanford Program on Water, Health & Development View Full Stanford Profile Back to Top",http://jennadavis.stanford.edu
