name,url,profile,additional_urls
Itai Ashlagi,https://msande.stanford.edu/people/itai-ashlagi,"Main content start Professor of Management Science and Engineering, Senior Fellow at the Stanford Institute for Economic Policy Research and, Professor, by courtesy, of Economics Itai Ashlagi Professor of Management Science and Engineering, Senior Fellow at the Stanford Institute for Economic Policy Research and, Professor, by courtesy, of Economics Itai Ashlagi is a Professor at the Management Science & Engineering Department. He is  interested in game theory and the design and analysis of marketplaces.  He is especially interested in marketplaces, in which matching is an essential activity. markets, for which he developed mechanisms using tools from operations/cs and economics. His work influenced the practice of Kidney exchange, for which he has become a Franz Edelman Laureate. Ashlagi received his  PhD in operations research from the Technion-Israel Institute of Technology. Before coming to Stanford he was an assistant professor of Operations Management at Sloan, MIT and prior to that  a  postdoctoral researcher at HBS.  He is the recipient of the outstanding paper award in the ACM conference of Electronic Commerce 2009. His research is supported by the NSF including an NSF-CAREER award. Education PhD, Technion, Israel (2008) Contact iashlagi@stanford.edu Mail Code 4026 Links CV Personal Website View Full Stanford Profile Back to Top",http://web.stanford.edu/~iashlagi/papers/ashlagi-cv.pdf
Jose H. Blanchet,https://msande.stanford.edu/people/jose-blanchet,"Main content start Professor of Management Science and Engineering Jose H. Blanchet Professor of Management Science and Engineering Jose Blanchet is a Professor of Management Science and Engineering (MS&E) at Stanford and an Amazon Scholar. Prior to joining MS&E, he was a professor at Columbia (Industrial Engineering and Operations Research, and Statistics, 2008-2017), and before that he taught at Harvard (Statistics, 2004-2008). Jose is Fellow of the Institute of Mathematical Statistics. He is a recipient of the 2010 Erlang Prize and several best publication awards in areas such as applied probability, simulation, operations management, and revenue management. Jose also received a Presidential Early Career Award for Scientists and Engineers in 2010. He also has received numerous funding awards from various agencies and companies. He currently leads a Department of Defense Multi-University Research Initiative on extreme events. Jose has research interests in applied probability and Monte Carlo methods. He is the Area Editor of Stochastic Models in Mathematics of Operations Research. He has served on the editorial board of Advances in Applied Probability, Bernoulli, Extremes, Insurance: Mathematics and Economics, Journal of Applied Probability, Queueing Systems: Theory and Applications, and Stochastic Systems, among others. Education PhD, Stanford University, Management Science and Engineering  (2004) MS, Stanford University, Engineering Economic Systems and Operations Research  (2002) Licenciado, Instituto Technologico Autonomo de Mexico, Applied Mathematics  (2000) Licenciado, Instituto Technologico Autonomo de Mexico, Actuarial Science  (2000) Contact jblanche@stanford.edu Mail Code 4026 Links My Lab Site View Full Stanford Profile Back to Top",https://joseblanchet.com
Thomas Byers,https://msande.stanford.edu/people/tom-byers,"Main content start Entrepreneurship Professor in the School of Engineering Thomas Byers Entrepreneurship Professor in the School of Engineering At Stanford University since 1995, Professor Tom Byers focuses on education regarding principled entrepreneurship and responsible technology innovation. He is the first holder of the Entrepreneurship Professorship endowed chair in the School of Engineering and a Bass University Fellow in Undergraduate Education. He has been a faculty director since the inception of the Stanford Technology Ventures Program (STVP), which serves as the entrepreneurship center for the School of Engineering including its Mayfield Fellows Program, Accel Leadership Program, Stanford eCorner, and its applied ethics project. He has also been a key advisor to the Hacking for Defense and Hacking for Climate projects to better connect entrepreneurship education with national security and sustainability challenges. In the past, he hosted 50 Roundtables on Entrepreneurship Education (REE) on five continents over 15 years. Tom is a lead author of the Technology Ventures: From Idea to Enterprise textbook from McGraw-Hill, now in its 5th edition. Tom is a member of the Council on Foreign Relations and the Board of Trustees at Menlo College. His service on advisory boards includes Harvard Business School and Conservation International. In the past, Tom was a visiting professor at London Business School, University College London, Duke University, and UNC-Chapel Hill. He was a recipient of the prestigious Gordon Prize by the National Academy of Engineering in the USA and Stanford University's Gores Award, which is their highest honor for excellence in teaching. Tom was executive vice president and general manager of Symantec Corporation during its formation and started his career at Accenture. Tom holds a BS in Industrial Engineering and Operations Research and an MBA from UC Berkeley. He also earned a PhD in Business Administration (Management Science) at UC Berkeley. Education BS, UC Berkeley, Industrial Engineering and Operations Research  (1975) MBA, Haas School of Business, UC Berkeley, Business Administration  (1980) PhD, Haas School of Business, UC Berkeley, Business Administration (Management Science)  (1982) Contact (650) 725-8271 tbyers@stanford.edu Mail Code 4026 Links Stanford Technology Ventures Program (STVP) Essay for NAE on Ethics and Entrepreneurship Entrepreneurs and the Truth in HBR 2021 Entrepreneurship and Ethics podcasts Applied Ethics and Entrepreneurship Education project Mayfield Fellows Program (work/study) Entrepreneurial Thought Leaders Seminars eCorner collection of videos, podcasts, and articles Technology Ventures textbook (5th Ed.) MS&E 297: ""Hacking for Defense"" course EARTHSYS 213: ""Hacking for Climate"" course Accel Leadership Program National Center for Engineering Pathways to Innovation (NSF sponsored) View Full Stanford Profile Back to Top",http://stvp.stanford.edu
Kathleen Eisenhardt,https://msande.stanford.edu/people/kathleen-eisenhardt,"Main content start Stanford W. Ascherman, M.D. Professor in the School of Engineering Kathleen Eisenhardt Stanford W. Ascherman, M.D. Professor in the School of Engineering Kathleen Eisenhardt is the Stanford W. Ascherman M.D. Professor and a faculty member in the Stanford Technology Ventures Program. Her recent book (w/Don Sull) is ""Simple Rules: How to Survive in a Complex World"" (Houghton Mifflin Harcourt) which explores how simplicity tames complexity in business, life, and nature. She is also co-author (w/Shona Brown) of ""Competing on the Edge: Strategy as Structured"" Chaos (Harvard Business School Press), winner of the George R. Terry Book Award for outstanding contribution to management thinking and an Amazon Top 10 Annual Business and Investing book. Professor Eisenhardt is also author of over 100 articles in research and business journals, and the first author featured in Harvard Business Review's OnPoint collection. She has been a Distinguished Visiting Professor with Insead's Entrepreneurship and Family Enterprise area. Professor Eisenhardt's research focus is strategy and organization, especially in technology-based companies and high-velocity industries. She is currently studying the use of ""simple rules"" heuristics, strategic interaction in new markets and ecosystems, strategy making in marketplaces, and business model design. She often uses multi-case theory building methods and more recently machine learning for theory building. She has received the career Scholarly Contribution Award from the Academy of Management and the Global Award for Entrepreneurship Research. She has been honored by many other awards including the Irwin Award for her contributions in strategy, the Distinguished Scholar Award from the Organization Theory and Management (OMT) and Technology and Innovation Management (TIM) divisions, the ASQ Scholarly Contribution award for the most influential paper five years after publication, and Strategic Management Society's Schendel Best Paper prize. Professor Eisenhardt consults at senior levels with firms in industries ranging from Internet, telecommunications, software, and biotech to agribusiness, semiconductors, and clean tech. Professor Eisenhardt was elected a Fellow of the Academy of Management and of the Strategic Management Society, and is an INFORMS member. She has served on the editorial boards of ASQ, Organization Science, Academy of Management Journal, Academy of Management Review, Strategic Management Journal and Strategic Entrepreneurship Journal. She has been a Fellow of the World Economic Forum (Davos), a member of General Motors' Science Advisory Committee, and a board member of MWH Global, an international engineering design and construction firm. She serves on the Advisory Board of Start-Up Chile. Eisenhardt received her B.S. in Mechanical Engineering (Brown University, cum laude and with honors). She holds an M.S. in computer science. Her Ph.D. is from Stanford's Graduate School of Business. Professor Eisenhardt has several honorary degrees including from London Business School, Aalto University, Chalmers University of Technology. Education PhD, Stanford (1982) Contact (650) 723-1887 kme@stanford.edu Mail Code 4026 Links STVP Simple Rules: How to Thrive in a Complex World View Full Stanford Profile Back to Top",http://stvp.stanford.edu/
Kay Giesecke,https://msande.stanford.edu/people/kay-giesecke,"Main content start Professor of Management Science and Engineering Kay Giesecke Professor of Management Science and Engineering Kay Giesecke is Professor of Management Science & Engineering at Stanford University. He is the Founder and Director of Stanford's Advanced Financial Technologies Laboratory, the Director of the Mathematical and Computational Finance Program and a member of the Institute for Computational and Mathematical Engineering. He has been on the Stanford faculty since 2005, and has held visiting positions at Cornell, UCLA, and the International Monetary Fund. He serves on the Governing Board and Scientific Advisory Board of the Consortium for Data Analytics in Risk and the Council of the Bachelier Finance Society. He is the founder and organizer of Stanford’s annual AI in Fintech Forum. Kay is Editor of Management Science (Finance Area) and Associate Editor for Operations Research, Mathematical Finance, Journal of Financial Econometrics, SIAM Journal on Financial Mathematics and several other leading journals. Giesecke’s award-winning research sits at the intersection of technology and finance, transforming risk intelligence, market oversight, and investment management. He pioneers stochastic models, statistical machine learning methods, computational algorithms, and software to better understand risk, identify opportunities, and support decision-making. Key application areas include risk management, market surveillance, fair lending, and sustainable investing. His work informs financial regulation, guides institutional practices, and contributes to more transparent, resilient, and equitable financial systems. In 2020, Kay founded Infima Technologies, a venture-backed SaaS company delivering transformative AI solutions for fixed-income market participants. He served as CEO before becoming Chief Scientist upon his return to Stanford. As Chairman of the Board, he led Infima through an acquisition in 2024. Kay has published more than 60 research articles in leading academic journals spanning stochastics, operations research, machine learning, econometrics, and financial economics. He is also a co-author of several U.S. patents, some of which underpin commercial investment analytics systems widely used in the financial industry. His research has been recognized with multiple awards, including the JP Morgan AI Faculty Research Award (2019), the SIAM Financial Mathematics and Engineering Conference Paper Prize (2014), the Fama/DFA Prize for the Best Asset Pricing Paper in the Journal of Financial Economics, and the Gauss Prize of the Society for Actuarial and Financial Mathematics of Germany (2003). His work is supported by the National Science Foundation and several leading financial institutions. Kay has supervised 27 doctoral dissertations, with graduates going on to faculty positions at institutions such as UC Berkeley, Oxford, Wharton, and NYU; leadership roles at firms including Goldman Sachs, Google, JPMorgan, Amazon, and Morgan Stanley; and founding successful technology startups. Kay is an award-winning educator with extensive experience designing educational programs at all levels. He has created and led successful executive education initiatives that have attracted industry leaders from around the globe. Kay advises several venture-backed technology startups and has served as a consultant to banks, investment managers, software firms, government agencies, and supranational organizations. Kay received his doctorate in 2001 from Humboldt Universität zu Berlin where he was a fellow of the Deutsche Forschungsgemeinschaft. Education PhD, Humboldt University Berlin, Germany, Economics  (2001) Contact (650) 723-9265 giesecke@stanford.edu Mail Code 4026 Links Kay's personal website Advanced Financial Technologies Laboratory Mathematical and Computational Finance Program View Full Stanford Profile Back to Top",https://people.stanford.edu/giesecke/
Peter Glynn,https://msande.stanford.edu/people/peter-glynn,"Main content start Thomas W. Ford Professor in the School of Engineering and Professor, by courtesy, of Electrical Engineering Peter Glynn Thomas W. Ford Professor in the School of Engineering and Professor, by courtesy, of Electrical Engineering Peter W. Glynn is the Thomas Ford Professor in the Department of Management Science and Engineering (MS&E) at Stanford University, and also holds a courtesy appointment in the Department of Electrical Engineering.. He received his Ph.D in Operations Research from Stanford University in 1982. He then joined the faculty of the University of Wisconsin at Madison, where he held a joint appointment between the Industrial Engineering Department and Mathematics Research Center, and courtesy appointments in Computer Science and Mathematics. In 1987, he returned to Stanford, where he joined the Department of Operations Research. From 1999 to 2005, he served as Deputy Chair of the Department of Management Science and Engineering, and was Director of Stanford's Institute for Computational and Mathematical Engineering from 2006 until 2010. He served as Chair of MS&E from 2011 through 2015. He is a Fellow of INFORMS and a Fellow of the Institute of Mathematical Statistics, has been co-winner of Best Publication Awards from the INFORMS Simulation Society in 1993 and 2008, was a co-winner of the Best (Biannual) Publication Award from the INFORMS Applied Probability Society in 2009, and was the co-winner of the John von Neumann Theory Prize from INFORMS in 2010. In 2012, he was elected to the National Academy of Engineering. His research centers on computational algorithms, mathematical approximations, statistical methodology, and optimization methods for the analysis of systems in which uncertainty is present. He has developed algorithms that are widely used across the field of Monte Carlo simulation. Applications include financial risk management, service systems engineering, logistics, and retail operations. Education PhD, Stanford University, Operations Research  (1982) B.Sc (Hon), Carleton University, Mathematics  (1978) Contact glynn@stanford.edu Mail Code 4026 Links https://web.stanford.edu/~glynn/ View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~glynn/
Ashish Goel,https://msande.stanford.edu/people/ashish-goel,"Main content start Professor of Management Science and Engineering and, by courtesy, of Computer Science Ashish Goel Professor of Management Science and Engineering and, by courtesy, of Computer Science Ashish Goel is a Professor of Management Science and Engineering and (by courtesy) Computer Science at Stanford University. He received his PhD in Computer Science from Stanford in 1999, and was an Assistant Professor of Computer Science at the University of Southern California from 1999 to 2002. His research interests lie in the design, analysis, and applications of algorithms. Education PhD, Stanford University, Computer Science  (1999) Contact ashish.goel@stanford.edu Mail Code 4026 Links https://web.stanford.edu/~ashishg/ashishg.html View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~ashishg/ashishg.html
Ramesh Johari,https://msande.stanford.edu/people/ramesh-johari,"Main content start Professor of Management Science and Engineering and, by courtesy, of Electrical Engineering Ramesh Johari Professor of Management Science and Engineering and, by courtesy, of Electrical Engineering Johari is broadly interested in the design, economic analysis, and operation of online platforms, as well as statistical and machine learning techniques used by these platforms (such as search, recommendation, matching, and pricing algorithms). Education PhD, MIT (2004) Contact (650) 723-0937 rjohari@stanford.edu Mail Code 4026 Links https://web.stanford.edu/people/ramesh.johari View Full Stanford Profile Back to Top",https://web.stanford.edu/people/ramesh.johari
Riitta Katila,https://msande.stanford.edu/people/riitta-katila,"Main content start W.M. Keck Professor and Professor of Management Science and Engineering Riitta Katila W.M. Keck Professor and Professor of Management Science and Engineering Riitta Katila is the W. M. Keck Sr. Professor of Management Science, Faculty Director of the Stanford Technology Ventures Program and HAI Sabbatical Scholar at Stanford Institute for Human-Centered Artificial Intelligence at Stanford University. Her research is in the intersection of technology strategy and organizational learning, using machine learning, statistical analysis and mixed methods. She is an expert on innovation, competition, and entrepreneurship in large firms, and her current research centers on digital platforms, regulation of technology ecosystems, decentralization of decision-making, and  innovation. Katila's research pushes the theoretical boundaries of institutional logics, resource dependence and evolutionary search theories to understand how organizations innovate and change. Prof. Katila's research has received several international honors. She is an Alfred P. Sloan Industry Studies Fellow and winner of the Schendel Prize by the Strategic Management Society.  Katila is an elected Fellow of the Academy of Management and Fellow of the Strategic Management Society. Katila received Academy of Management's Stephan M. Schrader Award for Outstanding Research in Technology and Innovation Management, and the Thought Leader Award in Entrepreneurship. Katila is the recipient of the Eugene L. Grant Faculty Teaching Award at Stanford, an alumni impact award from Aalto University's School of Science (former Helsinki University of Technology) and the winner of the Tau Beta Pi Teaching Award at Stanford. She is Associate Editor of the Academy of Management Annals and of the Strategic Entrepreneurship Journal and has served on the editorial review boards of Administrative Science Quarterly, Organization Science, Strategic Organization, and the Strategic Management Journal. She is currently on Strategic Management Society's Board of Directors, and is past-President of the Technology and Innovation Management Division of the Academy of Management. Katila studied engineering economics and information systems as an undergraduate, earned a Ph.D. in technology strategy at UT Austin on a Fulbright Scholarship, and received a Doctorate in Engineering from Helsinki University of Technology in Finland. In between, she worked at a management consultancy and in telecommunications. Media Resources for Recent Research: For the Strategic Management Journal 2024 paper on AI and supervised machine learning for strategy scholars, Video abstract https://www.youtube.com/watch?v=yaiazcpPucI Sage Research Methods video https://methods.sagepub.com/video/machine-learning-and-publicprivate-fi… and AI for good https://arxiv.org/abs/2305.09573 . https://www.youtube.com/watch?v=IS6qJG3vZPM For access to publications, http://web.stanford.edu/~rkatila/lagunita/publications.html On lean startup https://www.youtube.com/watch?v=wZ3uvFGf1o8 On expertise https://hbr.org/2017/12/too-many-experts-can-hurt-your-innovation-proje… On innovation and experiments https://hbr.org/2021/04/to-make-lean-startups-work-you-need-a-balanced-… On big tech antitrust https://hbr.org/2023/02/the-surprising-consequences-of-antitrust-action… On how to best use your expertise: What’s the sweet spot for experts? Academy of Management Journal 2017. https://www.youtube.com/watch?v=SSKM9jjmS5k Contact Links Personal website Research Software Publications View Full Stanford Profile Back to Top",http://web.stanford.edu/~rkatila/lagunita/index.html
Charles (Chuck) Eesley,https://msande.stanford.edu/people/charles-eesley,"Main content start Associate Professor of Management Science and Engineering Charles (Chuck) Eesley Associate Professor of Management Science and Engineering Chuck Eesley is an Associate Professor and W.M. Keck Foundation Faculty Scholar in the Department of Management Science and Engineering at Stanford University. He is also a Faculty Director of the Stanford Technology Ventures Program and a faculty affiliate at the Stanford Center for AI Safety (SAFE), where his work explores the intersection of artificial intelligence, entrepreneurship, and platform governance. His recent research focuses on how AI/ML algorithms shape opportunity access and performance in platform-mediated entrepreneurship, as well as the role of digital platforms in financing and spreading misinformation. Prof. Eesley’s broader research examines how institutional and university environments influence high-growth, engineering-driven entrepreneurship. He studies how education and policy can better support the economic and entrepreneurial outcomes of engineering students and alumni. His recent projects often apply text analysis/NLP, machine learning, randomized field experiments, or software platform development—as in the case of NovoEd.com, which spun out of his and Prof. Amin Saberi's Venture Lab at Stanford. His field research spans China, Japan, South Korea, Chile, Bangladesh, Uganda, Ethiopia, Thailand, and Silicon Valley, and has received awards from the Schulze Foundation, the Technical University of Munich, and the Kauffman Foundation. He was recently awarded a Stanford Social Impact Labs Design Fellowship for his work training refugee entrepreneurs in Sub-Saharan Africa. He serves on the Steering Committee for the Stanford King Center on Global Development and the Advisory Committee for the Stanford Center at Peking University. He is also a faculty affiliate at the Stanford Center on China’s Economy and Institutions and the Woods Institute for the Environment, and he serves on the Editorial Board of the Strategic Management Journal. His work has been published in Nature, Organization Science, Strategic Management Journal, and Biological Psychiatry, among others. A former entrepreneur and investor, Prof. Eesley has been a mentor and advocate for immigrants and first-generation, low-income students in STEM and entrepreneurship through initiatives such as the AAAS Global Innovation through Science and Technology (GIST) program. He earned his Ph.D. at the M.I.T. Sloan School of Management and a B.S. in neuroscience from Duke University. Education PhD, MIT, Sloan School of Management  (2009) BS, Duke University, Biological Basis of Behavior  (2002) Contact Mail Code 4026 Links TUM Research Excellence Award Google Scholar research statement View Full Stanford Profile Back to Top",https://drive.google.com/open?id=16lu0duJchn2lSqE6qjEG3l8ceiZlb4_9
