name,url,profile,additional_urls
Alberto Salleo,https://mse.stanford.edu/people/alberto-salleo,"Main content start Hong Seh and Vivian W. M. Lim Professor and Professor of Photon Science Alberto Salleo Hong Seh and Vivian W. M. Lim Professor and Professor of Photon Science Novel materials and processing techniques for large-area and flexible electronic/photonic devices. Polymeric materials for electronics, bioelectronics, and biosensors. Electrochemical devices for neuromorphic computing. Defects and structure/property studies of polymeric semiconductors, nano-structured and amorphous materials in thin films. Advanced characterization techniques for soft matter. Education PhD, UC Berkeley, Materials Science  (2001) Contact asalleo@stanford.edu Mail Code 4045 Links Lab Site View Full Stanford Profile Back to Top",https://salleo.stanford.edu
Sarah Heilshorn,https://mse.stanford.edu/people/sarah-heilshorn,"Main content start Director, Geballe Laboratory for Advanced Materials (GLAM), Rickey/Nielsen Professor in the School of Engineering and Professor, by courtesy, of Bioengineering and of Chemical Engineering Sarah Heilshorn Director, Geballe Laboratory for Advanced Materials (GLAM), Rickey/Nielsen Professor in the School of Engineering and Professor, by courtesy, of Bioengineering and of Chemical Engineering Heilshorn's interests include biomaterials in regenerative medicine, engineered proteins with novel assembly properties, microfluidics and photolithography of proteins, and synthesis of materials to influence stem cell differentiation. Current projects include tissue engineering for spinal cord and blood vessel regeneration, designing injectable materials for use in stem cell therapies, and the design of microfluidic devices to study the directed migration of cells (i.e., chemotaxis). Education PhD, Caltech, Chemical Engineering  (2004) MS, Caltech, Chemical Engineering  (2000) BS, Georgia Tech, Chemical Engineering  (1998) Contact heilshorn@stanford.edu Mail Code 4045 Links Heilshorn Laboratory Site View Full Stanford Profile Back to Top",https://web.stanford.edu/group/heilshorn/
Mark Brongersma,https://mse.stanford.edu/people/mark-brongersma,"Main content start Stephen Harris Professor, Professor of Materials Science and Engineering and, by courtesy, of Applied Physics Mark Brongersma Stephen Harris Professor, Professor of Materials Science and Engineering and, by courtesy, of Applied Physics Mark Brongersma is a Professor  in the Department of Materials Science and Engineering at Stanford University. He received his PhD in Materials Science from the FOM Institute in Amsterdam, The Netherlands, in 1998. From 1998-2001 he was a postdoctoral research fellow at the California Institute of Technology. During this time, he coined the term “Plasmonics” for a new device technology that exploits the unique optical properties of nanoscale metallic structures to route and manipulate light at the nanoscale. His current research is directed towards the development and physical analysis of nanostructured materials that find application in nanoscale electronic and photonic devices. Brongersma received a National Science Foundation Career Award, the Walter J. Gores Award for Excellence in Teaching, the International Raymond and Beverly Sackler Prize in the Physical Sciences (Physics) for his work on plasmonics, and is a Fellow of the Optical Society of America, the SPIE, and the American Physical Society. Education PhD, FOM Institute for Atomic and Molecular Physics, Amsterdam, The Netherlands, Materials Science and Engineering  (1998) Stanford Affiliations Mark L. Brongersma Contact Brongersma@stanford.edu Mail Code 4034 Links Mark L. Brongersma View Full Stanford Profile Back to Top",http://soe.stanford.edu/research/layout.php?sunetid=markb29
William Chueh,https://mse.stanford.edu/people/william-chueh,"Main content start Director, Precourt Institute for Energy, Professor of Materials Science and Engineering, of Energy Science and Engineering, and Senior Fellow at the Precourt Institute for Energy William Chueh Director, Precourt Institute for Energy, Professor of Materials Science and Engineering, of Energy Science and Engineering, and Senior Fellow at the Precourt Institute for Energy The availability of low-cost but intermittent renewable electricity (e.g., derived from solar and wind) underscores the grand challenge to store and dispatch energy so that it is available when and where it is needed. Redox-active materials promise the efficient transformation between electrical, chemical, and thermal energy, and are at the heart of carbon-neutral energy cycles. Understanding design rules that govern materials chemistry and architecture holds the key towards rationally optimizing technologies such as batteries, fuel cells, electrolyzers, and novel thermodynamic cycles. Electrochemical and chemical reactions involved in these technologies span diverse length and time scales, ranging from Ångströms to meters and from picoseconds to years. As such, establishing a unified, predictive framework has been a major challenge. The central question unifying our research is: “can we understand and engineer redox reactions at the levels of electrons, ions, molecules, particles and devices using a bottom-up approach?” Our approach integrates novel synthesis, fabrication, characterization, modeling and analytics to understand molecular pathways and interfacial structure, and to bridge fundamentals to energy storage and conversion technologies by establishing new design rules. Education PhD, Caltech, Materials Science  (2010) BS, Caltech, Applied Physics  (2005) Contact (650) 725-7515 wchueh@stanford.edu Mail Code 4034 Links The Chueh Group Stanford Energy Professional Certificate Program View Full Stanford Profile Back to Top",http://chuehlab.stanford.edu
Yi Cui,https://mse.stanford.edu/people/yi-cui,"Main content start Fortinet Founders Professor, Professor of Materials Science and Engineering, of Energy Science and Engineering, of Photon Science, Senior Fellow at Woods, at Precourt and Professor, by courtesy, of Chemistry Yi Cui Fortinet Founders Professor, Professor of Materials Science and Engineering, of Energy Science and Engineering, of Photon Science, Senior Fellow at Woods, at Precourt and Professor, by courtesy, of Chemistry Cui studies fundamentals and applications of nanomaterials and develops tools for their understanding.  Research Interests: nanotechnology, batteries, electrocatalysis, wearables, 2D materials, environmental technology (water, air, soil), cryogenic electron microscopy. Education PhD, Harvard University (2002) Contact yicui@stanford.edu Mail Code 4045 Links Cui Lab Energy Innovation and Emerging Technologies Certificate StorageX Initiative View Full Stanford Profile Back to Top",https://web.stanford.edu/group/cui_group/
Reinhold Dauskardt,https://mse.stanford.edu/people/reinhold-dauskardt,"Main content start Ruth G. and William K. Bowes Professor in the School of Engineering Reinhold Dauskardt Ruth G. and William K. Bowes Professor in the School of Engineering Dauskardt and his group have worked extensively on integrating new materials into emerging technologies including thin-film structures for nanoscience and energy technologies, high-performance composite and laminates for aerospace, and on biomaterials and soft tissues in bioengineering. His group has pioneered methods for characterizing adhesion and cohesion of thin films used extensively in device technologies. His research on wound healing has concentrated on establishing a biomechanics framework to quantify the mechanical stresses and biologic responses in healing wounds and define how the mechanical environment affects scar formation. Experimental studies are complimented with a range of multiscale computational capabilities. His research includes interaction with researchers nationally and internationally in academia, industry, and clinical practice. Education PhD, UC Berkeley/Witwatersrand (1988) Contact (650) 725-0679 Dauskardt@stanford.edu Mail Code 4034 Links http://dauskardt.stanford.edu/ View Full Stanford Profile Back to Top",http://dauskardt.stanford.edu/
Thomas Devereaux,https://mse.stanford.edu/people/thomas-devereaux,"Main content start Professor of Photon Science, of Materials Science and Engineering and Senior Fellow at the Precourt Institute for Energy Thomas Devereaux Professor of Photon Science, of Materials Science and Engineering and Senior Fellow at the Precourt Institute for Energy Professor Devereaux received his Ph.D. in Physics from the University of Oregon in 1991, M.S. from University of Oregon in 1988, and B.S from New York University in 1986. Professor Devereaux is a professor in Materials Science & Engineering and Photon Science at SLAC National Accelerator Laboratory and Stanford University, and a Senior Fellow of the Precourt Institute for Energy. He was formerly the Director of the Stanford Institute for Materials and Energy Sciences (SIMES) from 2011-2020. Professor Devereaux was a Post-doctoral Fellow at the Max Planck Institut, Stuttgart, (1991-1993), a Post-doctoral Fellow at the University of California, Davis, CA, (1993-1996), an Assistant Professor at The George Washington University, Washington, DC, (1996-1999), and an Associate Professor (1999-2006) and Professor (2006-2007) at the University of Waterloo, Waterloo, ON, Canada His main research interests lie in the areas of theoretical condensed matter physics and computational physics. His research effort focuses on using the tools of computational physics to understand quantum materials. The goal of his research is to understand equilibrium and ultrafast non-equilibrium electron dynamics via a combination of analytical theory and numerical simulations to provide insight into materials of relevance to energy science. His group carries out numerical simulations on SIMES' high-performance compute cluster, the National Energy Research Scientific Computing Center (NERSC), and other US computational facilities. The specific focus of the group is the development of numerical methods and theories of photon-based spectroscopies of strongly correlated quantum materials and novel materials for energy storage. Education Ph.D., University of Oregon, Physics  (1991) M.S., University of Oregon, Physics  (1988) B.S., New York University, Mathematics & Physics  (1986) Contact (650) 926-4181 tpd@SLAC.Stanford.EDU Mail Code 72 Links Devereaux Group Stanford Institute for Materials and Energy Sciences SLAC National Accelerator Laboratory Precourt Institute for Energy View Full Stanford Profile Back to Top",https://web.stanford.edu/group/photontheory/
Jennifer Dionne,https://mse.stanford.edu/people/jennifer-dionne,"Main content start Professor of Materials Science and Engineering, Senior Fellow at the Precourt Institute for Energy and Professor, by courtesy, of Radiology (Molecular Imaging Program at Stanford) Jennifer Dionne Professor of Materials Science and Engineering, Senior Fellow at the Precourt Institute for Energy and Professor, by courtesy, of Radiology (Molecular Imaging Program at Stanford) Jennifer (Jen) Dionne is a Professor of Materials Science and Engineering and, by courtesy, of Radiology at Stanford. She is also a Chan Zuckerberg Biohub Investigator, deputy director of Q-NEXT (a DOE National Quantum Initiative), and co-founder of Pumpkinseed, a company developing quantum sensors to understand and optimize the immune system. From 2020-2023, Jen served as Stanford’s Inaugural Vice Provost of Shared Facilities, raising capital to modernize instrumentation, fund experiential education, foster staff development, and support new and existing users of the shared facilities. Jen received her B.S. degrees in Physics and Systems Science and Mathematics from Washington University in St. Louis, her Ph. D. in Applied Physics at the California Institute of Technology in 2009, and her postdoctoral training in Chemistry at Berkeley.  As a pioneer of nanophotonics, she is passionate about developing methods to observe and control chemical and biological processes as they unfold with nanometer scale resolution, emphasizing critical challenges in global health and sustainability. Her research has developed culture-free methods to detect pathogens and their antibiotic susceptibility; amplification-free methods to detect and sequence nucleic acids and proteins; and new methods to image light-driven chemical reactions with atomic-scale resolution.  Jen’s work has been featured in NPR, the Economist, Science, and Nature, and recognized with the NSF Alan T. Waterman Award, a NIH Director’s New Innovator Award, a Moore Inventor Fellowship, and the Presidential Early Career Award for Scientists and Engineers. She was also featured on Oprah’s list of “50 Things that will make you say ‘Wow’!”.  She also perceives outreach as a critical component of her role and frequently collaborates with visual and performing artists to convey the beauty of science to the broader public. Education PhD, California Institute of Technology, Applied Physics  (2009) MS, California Institute of Technology, Applied Physics  (2005) BS, Washington University in St. Louis, Physics  (2003) BS, Washington University in St. Louis, Systems Science and Mathematics  (2003) Contact (650) 736-2286 jdionne@stanford.edu Mail Code 4034 Links http://dionne.stanford.edu View Full Stanford Profile Back to Top",http://dionne.stanford.edu
Persis Drell,https://mse.stanford.edu/people/persis-drell,"Main content start Provost, Emerita, James and Anna Marie Spilker Professor, Professor of Materials Science and Engineering and of Physics Persis Drell Provost, Emerita, James and Anna Marie Spilker Professor, Professor of Materials Science and Engineering and of Physics Persis Drell is the James and Anna Marie Spilker Professor in the School of Engineering, a professor of materials science and engineering, and a professor of physics. From Feb 1, 2017 to Sept. 30, 2023, Drell was the provost of Stanford University. Prior to her appointment as provost in February 2017, she was dean of the Stanford School of Engineering from 2014 to 2017 and director of U.S. Department of Energy SLAC National Acceleratory Laboratory from 2007 to 2012. She earned her bachelor’s degree in mathematics and physics from Wellesley College and her PhD in atomic physics from UC Berkeley. Before joining the faculty at Stanford in 2002, she was a faculty member in the physics department at Cornell University for 14 years. Contact View Full Stanford Profile Back to Top",http://msedrupal8.sites.stanford.edu/news
Sarah Heilshorn,https://mse.stanford.edu/people/sarah-heilshorn,"Main content start Director, Geballe Laboratory for Advanced Materials (GLAM), Rickey/Nielsen Professor in the School of Engineering and Professor, by courtesy, of Bioengineering and of Chemical Engineering Sarah Heilshorn Director, Geballe Laboratory for Advanced Materials (GLAM), Rickey/Nielsen Professor in the School of Engineering and Professor, by courtesy, of Bioengineering and of Chemical Engineering Heilshorn's interests include biomaterials in regenerative medicine, engineered proteins with novel assembly properties, microfluidics and photolithography of proteins, and synthesis of materials to influence stem cell differentiation. Current projects include tissue engineering for spinal cord and blood vessel regeneration, designing injectable materials for use in stem cell therapies, and the design of microfluidic devices to study the directed migration of cells (i.e., chemotaxis). Education PhD, Caltech, Chemical Engineering  (2004) MS, Caltech, Chemical Engineering  (2000) BS, Georgia Tech, Chemical Engineering  (1998) Contact heilshorn@stanford.edu Mail Code 4045 Links Heilshorn Laboratory Site View Full Stanford Profile Back to Top",https://web.stanford.edu/group/heilshorn/
