name,url
Juan Alonso,https://icme.stanford.edu/people/juan-alonso
Charbel Farhat,https://icme.stanford.edu/people/charbel-farhat
Antony Jameson,https://icme.stanford.edu/people/antony-jameson
Sanjiva Lele,https://icme.stanford.edu/people/sanjiva-lele
Marco Pavone,https://icme.stanford.edu/people/marco-pavone
Julia Salzman,https://icme.stanford.edu/people/julia-salzman
Andrew Spakowitz,https://icme.stanford.edu/people/andrew-spakowitz
Grant M. Rotskoff,https://icme.stanford.edu/people/grant-rotskoff
Oliver Fringer,https://icme.stanford.edu/people/oliver-fringer
Catherine Gorle,https://icme.stanford.edu/people/catherine-gorle
Peter K. Kitanidis,https://icme.stanford.edu/people/peter-kitanidis
Christian Linder,https://icme.stanford.edu/people/christian-linder
Ron Dror,https://icme.stanford.edu/people/ron-dror
Ron Fedkiw,https://icme.stanford.edu/people/ron-fedkiw
Leonidas Guibas,https://icme.stanford.edu/people/leonidas-guibas
Pat Hanrahan,https://icme.stanford.edu/people/pat-hanrahan
Doug James,https://icme.stanford.edu/people/doug-james
Mary Wootters,https://icme.stanford.edu/people/mary-wootters
Noah Rosenberg,https://icme.stanford.edu/people/noah-rosenberg
Stephen Boyd,https://icme.stanford.edu/people/stephen-boyd
Brad Osgood,https://icme.stanford.edu/people/brad-osgood
Arogyaswami Paulraj,https://icme.stanford.edu/people/arogyaswami-paulraj
Benjamin Van Roy,https://icme.stanford.edu/people/benjamin-van-roy
Margot Gerritsen,https://icme.stanford.edu/people/margot-gerritsen
Daniel Tartakovsky,https://icme.stanford.edu/people/daniel-tartakovsky
Hamdi Tchelepi,https://icme.stanford.edu/people/hamdi-tchelepi
Biondo Biondi,https://icme.stanford.edu/people/biondo-biondi
Eric Dunham,https://icme.stanford.edu/people/eric-dunham
Jerry Harris,https://icme.stanford.edu/people/jerry-harris
Ching-Yao Lai,https://icme.stanford.edu/people/ching-yao-lai
Jenny Suckale,https://icme.stanford.edu/people/jenny-suckale
Susan Athey,https://icme.stanford.edu/people/susan-athey
Jose H. Blanchet,https://icme.stanford.edu/people/jose-blanchet
Kay Giesecke,https://icme.stanford.edu/people/kay-giesecke
Peter Glynn,https://icme.stanford.edu/people/peter-glynn
Ashish Goel,https://icme.stanford.edu/people/ashish-goel
Ramesh Johari,https://icme.stanford.edu/people/ramesh-johari
Walter Murray,https://icme.stanford.edu/people/walter-murray
Markus Pelger,https://icme.stanford.edu/people/markus-pelger
