name,url
Adam Boies,https://me.stanford.edu/people/adam-boies
Wei Cai,https://me.stanford.edu/people/wei-cai
Mark A. Cappelli,https://me.stanford.edu/people/mark-cappelli
Ovijit Chaudhuri,https://me.stanford.edu/people/ovijit-chaudhuri
Steven Hartley Collins,https://me.stanford.edu/people/steve-collins
Mark Cutkosky,https://me.stanford.edu/people/mark-cutkosky
Eric Darve,https://me.stanford.edu/people/eric-darve
"Scott L. Delp, Ph.D.",https://me.stanford.edu/people/scott-delp
Matthew R. Edwards,https://me.stanford.edu/people/matthew-edwards
Vivian Feig,https://me.stanford.edu/people/vivian-feig
Sean Follmer,https://me.stanford.edu/people/sean-follmer
Kenneth Goodson,https://me.stanford.edu/people/kenneth-goodson
Wendy Gu,https://me.stanford.edu/people/wendy-gu
Ronald Hanson,https://me.stanford.edu/people/ronald-hanson
Gianluca Iaccarino,https://me.stanford.edu/people/gianluca-iaccarino
Matthias Ihme,https://me.stanford.edu/people/matthias-ihme
David Kelley,https://me.stanford.edu/people/david-kelley
Monroe Kennedy III,https://me.stanford.edu/people/monroe-kennedy
Thomas Kenny,https://me.stanford.edu/people/thomas-kenny
Ellen Kuhl,https://me.stanford.edu/people/ellen-kuhl
Natalie Larson,https://me.stanford.edu/people/natalie-larson
Sanjiva Lele,https://me.stanford.edu/people/sanjiva-lele
Marc Levenston,https://me.stanford.edu/people/marc-levenston
Adrian Lew,https://me.stanford.edu/people/adrian-lew
Dr. Arun Majumdar,https://me.stanford.edu/people/arunava-majumdar
Ali Mani,https://me.stanford.edu/people/ali-mani
Michaëlle Ntala Mayalu,https://me.stanford.edu/people/michaelle-mayalu
Beverley J McKeon,https://me.stanford.edu/people/beverley-mckeon
Parviz Moin,https://me.stanford.edu/people/parviz-moin
Allison Okamura,https://me.stanford.edu/people/allison-okamura
Friedrich Prinz,https://me.stanford.edu/people/friedrich-prinz
Juan G. Santiago,https://me.stanford.edu/people/juan-santiago
Eric S.G. Shaqfeh,https://me.stanford.edu/people/eric-shaqfeh
Sindy Tang,https://me.stanford.edu/people/sindy-tang
Hai Wang,https://me.stanford.edu/people/hai-wang
Renee Zhao,https://me.stanford.edu/people/renee-zhao
Xiaolin Zheng,https://me.stanford.edu/people/xiaolin-zheng
