name,url,profile,additional_urls
Markus Covert,https://bioengineering.stanford.edu/people/markus-covert,"Main content start Shriram Chair of the Department of Bioengineering, Professor of Bioengineering and, by courtesy, of Chemical and Systems Biology Markus Covert Shriram Chair of the Department of Bioengineering, Professor of Bioengineering and, by courtesy, of Chemical and Systems Biology Our focus is on building computational models of complex biological processes, and using these models to guide an experimental program. Such an approach leads to a relatively rapid identification and validation of previously unknown components and interactions. Biological systems of interest include metabolic, regulatory and signaling networks as well as cell-cell interactions. Current research involves the dynamic behavior of NF-kappaB, an important family of transcription factors whose aberrant activity has been linked to oncogenesis, tumor progression, and resistance to chemotherapy. Education Ph.D., UCSD, Bioengineering/ Bioinformatics  (2003) M.S., UCSD, Bioengineering  (2002) B.S., Brigham Young University, Chemical Engineering  (1997) Contact (650) 725-6615 mcovert@stanford.edu Mail Code 4245 Links Lab Website View Full Stanford Profile Back to Top",https://www.covert.stanford.edu/
Russ B. Altman,https://bioengineering.stanford.edu/people/russ-altman,"Main content start Kenneth Fong Professor and Professor of Bioengineering, of Genetics, of Medicine, of Biomedical Data Science, Senior Fellow at the Stanford Institute for Human-Centered AI and Professor, by courtesy, of Computer Science Russ B. Altman Kenneth Fong Professor and Professor of Bioengineering, of Genetics, of Medicine, of Biomedical Data Science, Senior Fellow at the Stanford Institute for Human-Centered AI and Professor, by courtesy, of Computer Science Russ Biagio Altman is the Kenneth Fong Professor of Bioengineering, Genetics, Medicine, Biomedical Data Science and (by courtesy) Computer Science) and past chairman of the Bioengineering Department at Stanford University. His primary research interests are in the application of computing (AI, data science and informatics) to problems relevant to medicine. He is particularly interested in methods for understanding drug action at molecular, cellular, organism and population levels. His lab studies how human genetic variation impacts drug response (e.g., http://www.pharmgkb.org/ ). Other work focuses on the analysis of biological molecules to understand the actions, interactions and adverse events of drugs (e.g., http://helix.stanford.edu/ ). He helps lead an FDA-supported Center of Excellence in Regulatory Science & Innovation. Dr. Altman holds an AB from Harvard College, and an MD from Stanford Medical School, and a PhD in Medical Information Sciences from Stanford. He received the U.S. Presidential Early Career Award for Scientists and Engineers and a National Science Foundation CAREER Award. He is a fellow of the American College of Physicians (ACP), the American College of Medical Informatics (ACMI), the American Institute of Medical and Biological Engineering (AIMBE), and the American Association for the Advancement of Science (AAAS). He is a member of the National Academy of Medicine. He is a past-president, founding board member, and a fellow of the International Society for Computational Biology (ISCB), and a past-president of the American Society for Clinical Pharmacology & Therapeutics (ASCPT). He has chaired the Science Board advising the FDA commissioner, and has served on the NIH Director’s Advisory Committee, and as cochair of the IOM Drug Forum. He is an organizer of the annual Pacific Symposium on Biocomputing, and a founder of Personalis (NASDAQ: PSNL). Dr. Altman is board certified in Internal Medicine and in Clinical Informatics. He received the Stanford Medical School graduate teaching award in 2000 and 2020, and the mentorship award in 2014. He is the founding editor of the Annual Reviews of Biomedical Data Science, and hosts a podcast entitled “The Future of Everything.” Education AB (summa cum laude), Harvard College, Biochemistry and Molecular Biology  (1983) PhD, Stanford University, Medical Information Sciences  (1989) MD, Stanford University, Medicine  (1990) Contact (650) 725-0659 Russ.Altman@stanford.edu Mail Code 5444 Links Helix Group Website Personal home page View Full Stanford Profile Back to Top",http://helix.stanford.edu
Kwabena Boahen,https://bioengineering.stanford.edu/people/kwabena-boahen,"Main content start Professor of Bioengineering and of Electrical Engineering Kwabena Boahen Professor of Bioengineering and of Electrical Engineering Kwabena Boahen is a Professor of Bioengineering and of Electrical Engineering at Stanford University, with a courtesy appointment in Computer Science, and an investigator in the Bio-X Institute, the System X Alliance, and the Wu Tsai Neurosciences Institute. He founded the Brains in Silicon Lab at Stanford to link neuronal biophysics to cognitive behavior through computational modeling and to emulate the brain with silicon chips through neuromorphic engineering. His interest in neural networks developed soon after he left his native Ghana to pursue undergraduate studies in Electrical and Computer Engineering at Johns Hopkins University, Baltimore, in 1985. He went on to earn a doctorate in Computation and Neural Systems at the California Institute of Technology in 1997. From 1997 to 2005 he was on the faculty of University of Pennsylvania, Philadelphia PA, where he was the inaugural holder of the Skirkanich Term Junior Chair. His research has resulted in over a hundred publications, including a cover story in Scientific American featuring his lab’s work on a silicon retina and a silicon tectum that “wire together” automatically (May 2005). He has been invited to give over a hundred seminar, plenary, and keynote talks, including a 2007 TED talk, “A computer that works like the brain”, with over seven hundred thousand views. He has received several distinguished honors, including a Packard Fellowship for Science and Engineering (1999) and a National Institutes of Health Director’s Pioneer Award (2006). He was elected a fellow of the American Institute for Medical and Biological Engineering (2016) and of the Institute of Electrical and Electronic Engineers (2016) in recognition of his lab’s work on Neurogrid, an iPad-size platform that emulates the cerebral cortex in biophysical detail and at functional scale, a combination that hitherto required a supercomputer. He has led several multi-university, multi-investigator research efforts, including one that raised the level of abstraction at which neuromorphic chips are ‘programmed’ by co-designing hardware and software (Brainstorm Project). A spin-out from his Stanford lab, Femtosense Inc (2018), is commercializing this breakthrough. Education PhD, Caltech (1997) Contact (650) 724-5633 boahen@stanford.edu Mail Code 5436 Links Brains in Silicon View Full Stanford Profile Back to Top",https://web.stanford.edu/group/brainsinsilicon/
Jennifer R. Cochran,https://bioengineering.stanford.edu/people/jennifer-cochran,"Main content start Senior Associate Vice Provost for Research, Addie and Al Macovski Professor and Professor of Bioengineering Jennifer R. Cochran Senior Associate Vice Provost for Research, Addie and Al Macovski Professor and Professor of Bioengineering Jennifer Cochran is the Senior Associate Vice Provost for Research and Addie and Al Macovski Professor of Bioengineering and, by courtesy, of Chemical Engineering. She is a member of the Cancer Biology, Biophysics, and Immunology graduate programs. Dr. Cochran also serves as a member of the leadership team and former Director of the Stanford/NIH Biotechnology pre-doctoral training program. Her research group uses interdisciplinary approaches in chemistry, engineering, and biophysics to study complex biological systems and to develop new tools for basic science and biomedical applications. Dr. Cochran's translational interests span protein-based drug discovery and development for applications in oncology and regenerative medicine, and the development of new technologies for high-throughput protein analysis and engineering. Dr. Cochran obtained her Ph.D. in Biological Chemistry from the Massachusetts Institute of Technology, where she also completed a postdoctoral fellowship in Biological Engineering. Education Postdoctoral Fellow, MIT, Biological Engineering Ph. D., MIT, Biological Chemistry  (2001) B.S., University of Delaware, Biochemistry  (1995) Contact Jennifer.Cochran@stanford.edu Mail Code 4125 Links Cochran Lab website View Full Stanford Profile Back to Top",https://cochranlab.stanford.edu/
Karl Deisseroth,https://bioengineering.stanford.edu/people/karl-deisseroth,"Main content start D. H. Chen Professor, Professor of Bioengineering and of Psychiatry and Behavioral Sciences Karl Deisseroth D. H. Chen Professor, Professor of Bioengineering and of Psychiatry and Behavioral Sciences Karl Deisseroth is the D.H. Chen Professor of Bioengineering and of Psychiatry and Behavioral Sciences at Stanford University, and Investigator of the Howard Hughes Medical Institute. He received his undergraduate degree from Harvard, his PhD from Stanford, and his MD from Stanford. He also completed postdoctoral training, medical internship, and adult psychiatry residency at Stanford, and he is board-certified by the American Board of Psychiatry and Neurology. He continues as a practicing psychiatrist at Stanford with specialization in affective disorders and autism-spectrum disease, employing medications along with neural stimulation. Over the last sixteen years, his laboratory created and developed optogenetics, hydrogel-tissue chemistry (beginning with CLARITY), and a broad range of enabling methods. He also has employed his technologies to discover the neural cell types and connections that cause adaptive and maladaptive behaviors, and has disseminated the technologies to thousands of laboratories around the world. Among other honors, Deisseroth was the sole recipient for optogenetics of the 2010 Koetser Prize, the 2010 Nakasone Prize, the 2011 Alden Spencer Prize, the 2013 Richard Lounsbery Prize, the 2014 Dickson Prize in Science, the 2015 Keio Prize, the 2015 Lurie Prize, the 2015 Albany Prize, the 2015 Dickson Prize in Medicine, the 2017 Redelsheimer Prize, the 2017 Fresenius Prize, the 2017 NOMIS Distinguished Scientist Award, the 2018 Eisenberg Prize, the 2018 Kyoto Prize, the 2020 Heineken Prize in Medicine from the Royal Netherlands Academy of Arts and Sciences, and the 2023 Japan Prize. For his discoveries, Deisseroth has also received the Perl Prize (2012), the BRAIN prize (2013), the Pasarow Prize (2013), the Breakthrough Prize (2015) the BBVA Award (2016), the Massry Prize (2016) and the Harvey Prize from the Technion/Israel (2017). He was selected a Howard Hughes Medical Institute Investigator in 2013, and was elected to the US National Academy of Medicine in 2010, to the US National Academy of Sciences in 2012, and to the US National Academy of Engineering in 2019. Education Medical Education: Stanford University School of Medicine (2000)  CA Residency: Stanford University Adult Psychiatry Residency (2004)  CA Internship: Stanford University Adult Psychiatry Residency (2001)  CA Board Certification: American Board of Psychiatry and Neurology, Psychiatry (2006) Ph.D., Stanford University, Neuroscience  (1998) M.D., Stanford University (2000) A.B., Harvard, Biochemical Sciences  (1992) Contact (650) 725-8524 Mail Code 5435 Links Deisseroth Lab Website optogenetics technology portal CLARITY technology portal View Full Stanford Profile Back to Top",https://web.stanford.edu/group/dlab/
"Scott L. Delp, Ph.D.",https://bioengineering.stanford.edu/people/scott-delp,"Main content start Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery Scott L. Delp, Ph.D. Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery Scott L. Delp, Ph.D., is the James H. Clark Professor of Bioengineering, Mechanical Engineering, and Orthopaedic Surgery at Stanford University. He is the Founding Chairman of the Department of Bioengineering at Stanford, and Director of the Wu Tsai Human Performance Alliance at Stanford, a university-wide research initiative focused on discovering biological principles to optimize human performance and catalyze innovations in human health for all. Dr. Delp is also the Director of the Restore Center, an NIH national center focused on measuring real world rehabilitation outcomes, and Director of the Mobilize Center, a NIH National Center of Excellence focused on Big Data and Mobile Health. Scott is focused on developing technologies to advance movement science and human health. Software tools developed in his lab, including OpenSim and Simtk.org, have become the basis of an international collaboration involving thousands of students and scientists who exchange simulations of human movement. Prior to joining the faculty at Stanford, Delp was on the faculty at Northwestern University and the Rehabilitation Institute of Chicago. He has published over 325 research articles in the field of biomechanics and has published a textbook from MIT Press entitled Biomechanics of Movement: The Science of Sports, Robotics, and Rehabilitation. Professor Delp has co-founded six health technology companies and is a member of the U.S. National Academy of Engineering. Education Ph.D., Stanford University, Mechanical Engineering  (1990) M.S., Stanford University, Mechanical Engineering  (1986) B.S., Colorado State University, Mechanical Engineering  (1983) Contact (650) 723-1230 delp@stanford.edu Mail Code 5444 Links Neuromuscular Biomechanics Lab Google Scholar Profile Wu Tsai Human Performance Alliance Stanford University Mobilize Center Restore Center SimTK Wu Tsai Human Performance Alliance View Full Stanford Profile Back to Top",https://web.stanford.edu/group/nmbl/
KC Huang,https://bioengineering.stanford.edu/people/kerwyn-huang,"Main content start Professor of Bioengineering and of Microbiology and Immunology KC Huang Professor of Bioengineering and of Microbiology and Immunology My laboratory employs diverse interdisciplinary methods of inquiry to understand the relationships among cell shape detection, determination, and maintenance in bacteria. Cell shape plays a critical role in regulating many physiological functions, yet little is known about how the wide variety of cell shapes are determined and maintained. Inside the cell, many proteins organize and segregate, but how they detect and respond to the cellular morphology to end up at the right place at the right time is also largely mysterious. The group uses a combination of analytical, computational, and experimental approaches to probe physical mechanisms of shape-related self-organization in protein networks, membranes, and the cell wall. Current topics of interest are (i) cell-wall biosynthesis, (ii) the regulation and mechanics of cell division, (iii) membrane organization, and (iv) membrane-mediated protein interactions. Ultimately, the manipulation of cell shape may provide a direct tool for engineering complex cellular behaviors. Education Ph. D., MIT, Physics  (2004) M. Phil., Cambridge University, Physics  (1999) B.S., Caltech, Physics/Mathematics  (1998) Contact kchuang@stanford.edu Mail Code 5444 Links Laboratory of Cellular Organization View Full Stanford Profile Back to Top",http://whatislife.stanford.edu/
Joshua Makower,https://bioengineering.stanford.edu/people/josh-makower,"Main content start Yock Family Professor and Professor of Bioengineering Joshua Makower Yock Family Professor and Professor of Bioengineering Dr. Josh Makower is The Yock Family Professor of Medicine and of Bioengineering at the Stanford University Schools of Medicine and Engineering and the Director of the Stanford Byers Center for Biodesign, the program he co-founded with Dr. Paul Yock twenty years ago.  Josh helped create the fundamental structure of the Center’s core curriculum and is the chief architect of what is now called “The Biodesign Process.”  Over the past 20 years since Josh and Paul founded Biodesign, this curriculum and the associated textbook has been used at Stanford and across the world to train hundreds of thousands of students, faculty and industry leaders on the Biodesign process towards the advancement of medical innovation for the improvement of patient care.  Josh has practiced these same techniques directly as the Founder & Executive Chairman of ExploraMed, a medical device incubator, creating 10 companies since 1995. Transactions from the ExploraMed portfolio include NeoTract, acquired by Teleflex, Acclarent, acquired by J&J, EndoMatrix, acquired by C.R. Bard & TransVascular, acquired by Medtronic. Other ExploraMed/NEA ventures include Moximed, Revelle Aesthetics, X9 and Willow.  Josh is also a Senior Advisors to Patient Square Capital, and an Advisory Venture Partner with Sofinnova Partners. Josh serves on the boards of Elevage, VentureWell, Revelle Aesthetics, ExploraMed, Moximed, Willow, X9 and Coravin.  Josh holds over 300 patents and patent applications. He received an MBA from Columbia University, an MD from the NYU School of Medicine, a bachelor’s degree in Mechanical Engineering from MIT.  Josh is a Member of the National Academy of Engineering, a Fellow of The National Academy of Inventors and The American Institute for Medical and Biological Engineering, and was awarded the Coulter Award for Healthcare Innovation by the Biomedical Engineering Society in 2018. Education MBA, Columbia University, Business  (1993) M.D., NYU School of Medicine, Medicine  (1989) S.B., M.I.T., Mechanical Engineering  (1985) Contact (650) 472-3160 jmakower@stanford.edu Mail Code 5406 Links Stanford Biodesign ExploraMed View Full Stanford Profile Back to Top",http://biodesign.stanford.edu
Alison Marsden,https://bioengineering.stanford.edu/people/alison-marsden,"Main content start Douglass M. and Nola Leishman Professor of Cardiovascular Diseases, Professor of Pediatrics (Cardiology) and of Bioengineering and, by courtesy, of Mechanical Engineering Alison Marsden Douglass M. and Nola Leishman Professor of Cardiovascular Diseases, Professor of Pediatrics (Cardiology) and of Bioengineering and, by courtesy, of Mechanical Engineering Alison Marsden is the Douglass M. and Nola Leishman Professor of cardiovascular disease in the departments of Pediatrics, Bioengineering, and, by courtesy, Mechanical Engineering at Stanford University. From 2007-2015 she was a faculty member in the Mechanical and Aerospace Engineering Department at the University of California San Diego.  She graduated with a bachelor's degree in Mechanical Engineering from Princeton University in 1998, and a PhD in Mechanical Engineering from Stanford in 2005 working with Prof. Parviz Moin. She was a postdoctoral fellow at Stanford University in Bioengineering and Pediatric Cardiology from 2005-07 working with Charles Taylor and Jeffrey Feinstein.  She was the recipient of a Burroughs Wellcome Fund Career Award at the Scientific Interface in 2007, an NSF CAREER award in 2011. She is a fellow of the American Institute of Medical and Biological Engineers, the Society for Industrial and Applied Mathematics, the American Physical Society, and the Biomedical Engineering Society.  She received the UCSD graduate student association faculty mentor award in 2014 and MAE department teaching award at UCSD in 2015 and the Van C. Mow Medal from the ASME in 2023. She has published over 160 peer reviewed journal papers, and has received funding from the NSF, NIH, and several private foundations.  She is currently on the editorial boards of several leading journals in biomechanics and computational biology. Her work focuses on the development of numerical methods for cardiovascular blood flow simulation, medical device design, application of optimization to large-scale fluid mechanics simulations, and application of engineering tools to impact patient care in cardiovascular surgery and congenital heart disease. Education BSE, Princeton University, Mechanical Engineering  (1998) MSE, Stanford University, Mechanical Engineering  (2000) PhD, Stanford University, Mechanical Engineering  (2005) Contact (650) 723-7739 amarsden@stanford.edu Mail Code 5428 Links Cardiovascular Biomechanics Computation Lab SimVascular Open Source Software Project LinkedIn View Full Stanford Profile Back to Top",https://cbcl.stanford.edu/
Stephen Quake,https://bioengineering.stanford.edu/people/stephen-quake,"Main content start Lee Otterson Professor in the School of Engineering and Professor of Bioengineering, of Applied Physics and, by courtesy, of Physics Stephen Quake Lee Otterson Professor in the School of Engineering and Professor of Bioengineering, of Applied Physics and, by courtesy, of Physics Stephen Quake is the Lee Otterson Professor of Bioengineering and Professor of Applied Physics at Stanford University and is co-President of the Chan Zuckerberg Biohub. He received a B.S. in Physics and M.S. in Mathematics from Stanford University in 1991 and a doctorate in Theoretical Physics from the University of Oxford in 1994. Quake has invented many measurement tools for biology, including new DNA sequencing technologies that have enabled rapid analysis of the human genome and microfluidic automation that allows scientists to efficiently isolate individual cells and decipher their genetic code. Quake is also well known for inventing new diagnostic tools, including the first non-invasive prenatal test for Down syndrome and other aneuploidies. His test is rapidly replacing risky invasive approaches such as amniocentesis, and millions of women each year now benefit from this approach. His innovations have helped to radically accelerate the pace of biology and have made medicine safer by replacing invasive biopsies with simple blood tests. Education Ph.D., University of Oxford, Physics  (1994) M.S., Stanford University, Mathematics  (1991) B.S., Stanford University, Physics  (1991) Contact quake@stanford.edu Mail Code 5432 Links Quake Lab Site View Full Stanford Profile Back to Top",http://thebigone.stanford.edu/
