name,url,profile,additional_urls
Juan Alonso,https://icme.stanford.edu/people/juan-alonso,"Main content start Vance D. and Arlene C. Coffman Professor and the James and Anna Marie Spilker Chair of the Department of Aeronautics and Astronautics Juan Alonso Vance D. and Arlene C. Coffman Professor and the James and Anna Marie Spilker Chair of the Department of Aeronautics and Astronautics Prof. Alonso is the founder and director of the Aerospace Design Laboratory (ADL) where he specializes in the development of high-fidelity computational design methodologies to enable the creation of realizable and efficient aerospace systems. Prof. Alonso’s research involves a large number of different manned and unmanned applications including transonic, supersonic, and hypersonic aircraft, helicopters, turbomachinery, and launch and re-entry vehicles. He is the author of over 200 technical publications on the topics of computational aircraft and spacecraft design, multi-disciplinary optimization, fundamental numerical methods, and high-performance parallel computing. Prof. Alonso is keenly interested in the development of an advanced curriculum for the training of future engineers and scientists and has participated actively in course-development activities in both the Aeronautics & Astronautics Department (particularly in the development of coursework for aircraft design, sustainable aviation, and UAS design and operation) and for the Institute for Computational and Mathematical Engineering (ICME) at Stanford University. He was a member of the team that currently holds the world speed record for human powered vehicles over water. A student team led by Prof. Alonso also holds the altitude record for an unmanned electric vehicle under 5 lbs of mass. Education PhD, Princeton University, Mechanical & Aerospace Engineering  (1997) M.A., Princeton University, Mechanical & Aerospace Engineering  (1993) B.S., Massachusetts Institute of Technology, Aeronautics & Astronautics  (1991) Contact jjalonso@stanford.edu Mail Code 4035 Links http://adl.stanford.edu/people/jjalonso.html View Full Stanford Profile Back to Top",http://adl.stanford.edu/people/jjalonso.html
Charbel Farhat,https://icme.stanford.edu/people/charbel-farhat,"Main content start Vivian Church Hoff Professor of Aircraft Structures and Professor of Aeronautics and Astronautics Charbel Farhat Vivian Church Hoff Professor of Aircraft Structures and Professor of Aeronautics and Astronautics Charbel Farhat is the Vivian Church Hoff Professor of Aircraft Structures in the School of Engineering at Stanford University, where he is also a professor in the Institute for Computational and Mathematical Engineering. From 2008 to 2023, he chaired the Department of Aeronautics and Astronautics, serving from 2022 to 2023 as its inaugural James and Anna Marie Spilker Chair. He also directed the Stanford-King Abdulaziz City for Science and Technology Center of Excellence for Aeronautics and Astronautics (2014--2024) and served on multiple national advisory boards, including the Space Technology Industry-Government-University Roundtable (2017--2023), the U.S. Air Force Scientific Advisory Board (2015--2019), and the Bureau of Industry and Security's Emerging Technology and Research Advisory Committee (2008--2018). From 2007 to 2018, he was Director of the Army High Performance Computing Research Center at Stanford. Recognized by the U.S. Navy as a Primary Key-Influencer, he flew with the Blue Angels during Fleet Week 2014. He holds a Ph.D. in Civil Engineering from the University of California, Berkeley and is a member of three national academies: the National Academy of Engineering, the Royal Academy of Engineering (UK), and the Lebanese Academy of Sciences. His honors include a Vannevar Bush Faculty Fellowship from the Department of Defense and Docteur Honoris Causa degrees from Ecole Normale Superieure Paris-Saclay, Ecole Centrale de Nantes, and Ecole Nationale Superieure d'Arts et Metiers. He is a laureate of the TAKREEM AMERICA Foundation for Scientific and Technological Achievement and an ISI Highly Cited Researcher in Engineering. Farhat is a Fellow of several professional societies, including the AIAA, ASME, IACM, SES, SIAM, USACM, and WIF. He was knighted in the Order of Academic Palms and awarded the Chevalier Medal by the Prime Minister of France. Among his many distinctions, he has received the Lifetime Achievement Award and Spirit of St. Louis Medal from the ASME, the Ashley Award for Aeroelasticity, Structures, Structural Dynamics and Materials Award, Collier Aerospace HyperX/AIAA Structures Award, and Journal Authors Seminar Award from the AIAA, as well as the Computational Fluid Dynamics Award from SAE International. From the USACM, he has been awarded the John von Neumann Medal, the Computational and Applied Sciences Award, and the R.H. Gallagher Special Achievement Award. His contributions to computational mechanics have also been recognized with the Gauss-Newton Medal, the IACM Award, the Computational Mechanics Award, and the Young Investigator Award from the IACM. Additionally, he has received the Gordon Bell Prize and Sidney Fernbach Award from the IEEE Computer Society, the Grand Prize from the Japan Society for Computational Engineering and Science, the Modeling and Simulation Award from the Department of Defense, and the Presidential Young Investigator Award from the National Science Foundation and the White House. From 2014 to 2024, Farhat served as Editor-in-Chief of the International Journal for Numerical Methods in Engineering and, from 2017 to 2024, of the International Journal for Numerical Methods in Fluids. He is currently an Associate Editor of the Journal of Computational Physics and a member of the editorial boards of eight international scientific journals. A frequent AGARD and NATO lecturer, he has delivered keynote and plenary talks at major international conferences.  He has authored over 650 refereed publications in fluid-structure interaction, computational fluid dynamics, structural mechanics, acoustics, supercomputing, parallel processing, model order reduction, and physics-based machine learning. His research has been funded by NSF, AFOSR, ONR, ARL, DARPA, NASA, DoE, and various national laboratories and industry leaders, including Autodesk, Boeing, Ford, Lockheed-Martin, Michelin, Toyota, and Volkswagen. Education PhD, The University of California, Berkeley, Civil Engineering (1987) MS, The University of California, Berkeley, Electrical Engineering and Computer Sciences (1986) MS, The University of California, Berkeley, Structural Engineering and Structural Mechanics (1984) MS, Universite de Paris VI, France, Applied Mechanics (1983) Diplome d'Ingenieur, Ecole Centrale des Arts et Manufactures, France (1983) Contact (650) 723-3840 cfarhat@stanford.edu Mail Code 3035 Links Research and Teaching Site Flying with the Blue Angels View Full Stanford Profile Back to Top",https://web.stanford.edu/group/frg
Antony Jameson,https://icme.stanford.edu/people/antony-jameson,"Main content start Professor (Research) of Aeronautics and Astronautics, Emeritus Antony Jameson Professor (Research) of Aeronautics and Astronautics, Emeritus Professor Jameson's research focuses on the numerical solution of partial differential equations with applications to subsonic, transonic, and supersonic flow past complex configurations, as well as aerodynamic shape optimization. Education PhD, Cambridge (1963) Contact antony.jameson@stanford.edu Mail Code 4035 Links http://aero-comlab.stanford.edu/jameson/index.html View Full Stanford Profile Back to Top",http://aero-comlab.stanford.edu/jameson/index.html
Julia Salzman,https://icme.stanford.edu/people/julia-salzman,"Main content start Associate Professor of Biomedical Data Science, of Biochemistry and, by courtesy, of Statistics and of Biology Julia Salzman Associate Professor of Biomedical Data Science, of Biochemistry and, by courtesy, of Statistics and of Biology The Salzman lab views genomic data as a statistical signal processing problem, leveraging tools from statistics, traditional machine learning and deep learning for biological discovery.  We have recently introduced a new unifying paradigm, SPLASH (Statistically Primary aLignment Agnostic Sequence Homing), a data-compressive signal extraction that bypasses the historical computational machinery of genomics. Ongoing work extends the scope of this approach, making many problems in genomic sequence analysis easily accessible to computational engineers and statisticians. We are using SPLASH and its sister algorithms to train biological deep learning models at unprecedented scale, and leveraging these models to predict phenotypes and from single cell analyses of human and non-model organisms to drug responses in microbes, and other phenotypes across the tree of life, including in the study of plants, viruses, oceanic systems and their symbioses. The reference-free nature of SPLASH and its sister approaches enable dually the prediction of biological behavior – eg phenotype and attribution of the features responsible for these predictions. Education Ph. D., Stanford University, Statistics  (2007) A. B., Princeton University, Mathematics  (2002) Contact Mail Code 5307 Links Lab Website View Full Stanford Profile Back to Top",http://med.stanford.edu/salzmanlab.html
Andrew Spakowitz,https://icme.stanford.edu/people/andrew-spakowitz,"Main content start Senior Associate Dean for Research and Faculty Affairs, Professor of Chemical Engineering, of Materials Science and Engineering and, by courtesy, of Applied Physics Andrew Spakowitz Senior Associate Dean for Research and Faculty Affairs, Professor of Chemical Engineering, of Materials Science and Engineering and, by courtesy, of Applied Physics Theory and Computation of Biological Processes and Complex Materials The Spakowitz lab is engaged in projects that address fundamental chemical and physical phenomena underlying a range of biological processes and soft-material applications. Current research in our lab focuses on four main research themes: chromosomal organization and dynamics, protein self-assembly, polymer membranes, and charge transport in conducting polymers. These broad research areas offer complementary perspectives on chemical and physical processes, and we leverage this complementarity throughout our research. Our approach draws from a diverse range of theoretical and computational methods, including analytical theory of semiflexible polymers, polymer field theory, continuum elastic mechanics, Brownian dynamics simulation, equilibrium and dynamic Monte Carlo simulations, and analytical theory and numerical simulations of reaction-diffusion phenomena. A common thread in our work is the need to capture phenomena over many length and time scales, and our flexibility in research methodologies provides us with the critical tools to address these complex multidisciplinary problems. Education PhD, California Institute of Technology (2004) Contact ajspakow@stanford.edu Mail Code 4027 Links Spakowitz Research Group Website View Full Stanford Profile Back to Top",http://web.stanford.edu/~ajspakow/
Oliver Fringer,https://icme.stanford.edu/people/oliver-fringer,"Main content start Professor of Civil and Environmental Engineering and of Oceans Oliver Fringer Professor of Civil and Environmental Engineering and of Oceans Fringer's research focuses on the development and application of numerical models and high-performance computational techniques to the study of fundamental processes that influence the dynamics of the coastal ocean, rivers, lakes, and estuaries. Education PhD, Stanford University, Civil and Environmental Engineering  (2003) MS, Stanford University, Aeronautics and Astronautics  (1996) BSE, Princeton, Mechanical and Aerospace Engineering  (1995) Contact (650) 725-6878 fringer@stanford.edu Mail Code 4020 Links https://web.stanford.edu/~fringer/ View Full Stanford Profile Back to Top",https://web.stanford.edu/~fringer/ https://web.stanford.edu/
Catherine Gorle,https://icme.stanford.edu/people/catherine-gorle,"Main content start Associate Professor of Civil and Environmental Engineering and, by courtesy, of Mechanical Engineering Catherine Gorle Associate Professor of Civil and Environmental Engineering and, by courtesy, of Mechanical Engineering Gorlé received her BSc (2002) and MSc (2005) degrees in Aerospace Engineering from the Delft University of Technology, and her PhD (2010) from the von Karman Institute for Fluid Dynamics in cooperation with the University of Antwerp. Afterwards she was a Postdoctoral Fellow at the Center for Turbulence Research at Stanford University and a Research Professor at the von Karman Institute funded by a Pegasus Marie Curie fellowship. Before joining the Civil & Environmental Engineering Department at Stanford she was an Assistant Professor in the Department of Civil Engineering & Engineering Mechanics at Columbia University. Gorle's research focuses on the development of predictive flow simulations to support the design of sustainable buildings and cities. Specific topics of interest are the coupling of large- and small-scale models and experiments to quantify uncertainties related to the variability of boundary conditions, the development of uncertainty quantification methods for low-fidelity models using high-fidelity data, and the use of field measurements to validate and improve computational predictions. Education BSc, Delft University of Technology, Aerospace Engineering  (2002) MSc, Delft University of Technology, Aerospace Engineering  (2005) PhD, Von Karman Institute for Fluid Dynamics, Environmental and Applied Fluid Dynamics  (2010) Contact gorle@stanford.edu Mail Code 4020 Links Wind Engineering Lab website View Full Stanford Profile Back to Top",https://we.stanford.edu
Peter K. Kitanidis,https://icme.stanford.edu/people/peter-kitanidis,"Main content start Professor of Civil and Environmental Engineering Peter K. Kitanidis Professor of Civil and Environmental Engineering Kitanidis develops methods for the solution of interpolation and inverse problems utilizing observations and mathematical models of flow and transport. He studies dilution and mixing of soluble substances in heterogeneous geologic formations, issues of scale in mass transport in heterogeneous porous media, and techniques to speed up the decay of pollutants in situ. He also develops methods for hydrologic forecasting and the optimization of sampling and control strategies. Education Dipl., Nat.Tech. Univ., Athens, Civil Engineering  (1974) M.S., MIT, Civil Engineering  (1976) PhD, MIT, Water Resources  (1978) Contact (650) 723-8321 peterk@stanford.edu Mail Code 4020 Links https://web.stanford.edu/~peterk View Full Stanford Profile Back to Top",https://web.stanford.edu/~peterk https://web.stanford.edu/
Christian Linder,https://icme.stanford.edu/people/christian-linder,"Main content start Professor of Civil and Environmental Engineering and, by courtesy, of Mechanical Engineering Christian Linder Professor of Civil and Environmental Engineering and, by courtesy, of Mechanical Engineering Christian Linder is a Professor of Civil and Environmental Engineering and, by courtesy, of Mechanical Engineering. Through the development of novel and efficient in-house computational methods based on a sound mathematical foundation, the research goal of the Computational Mechanics of Materials (CM2) Lab at Stanford University, led by Dr. Linder, is to understand micromechanically originated multi-scale and multi-physics mechanisms in solid materials undergoing large deformations and fracture. Applications include sustainable energy storage materials, flexible electronics, and granular materials. Dr. Linder received his Ph.D. in Civil and Environmental Engineering from UC Berkeley, an MA in Mathematics from UC Berkeley, an M.Sc. in Computational Mechanics from the University of Stuttgart, and a Dipl.-Ing. degree in Civil Engineering from TU Graz. Before joining Stanford in 2013 he was a Junior-Professor of Micromechanics of Materials at the Applied Mechanics Institute of Stuttgart University where he also obtained his Habilitation in Mechanics. Notable honors include a Fulbright scholarship, the 2013 Richard-von-Mises Prize, the 2016 ICCM International Computational Method Young Investigator Award, the 2016 NSF CAREER Award, and the 2019 Presidential Early Career Award for Scientists and Engineers (PECASE). Education Habilitation, University of Stuttgart, Mechanics  (2012) PhD, UC Berkeley, Computational Mechanics  (2007) MA, UC Berkeley, Mathematics  (2006) MSc, University of Stuttgart, Computational Mechanics of Materials and Structures  (2003) Dipl.-Ing., Graz University of Technology, Civil and Environmental Engineering  (2001) Contact (650) 723-2918 linder@stanford.edu Mail Code 4020 Links Linder Lab View Full Stanford Profile Back to Top",https://cm2.stanford.edu
Ron Dror,https://icme.stanford.edu/people/ron-dror,"Main content start Cheriton Family Professor and Professor, by courtesy, of Structural Biology and of Molecular & Cellular Physiology Ron Dror Cheriton Family Professor and Professor, by courtesy, of Structural Biology and of Molecular & Cellular Physiology Ron Dror is the Cheriton Family Professor of Computer Science in the Stanford Artificial Intelligence Lab. Dr. Dror leads a research group that uses molecular simulation and machine learning to elucidate biomolecular structure, dynamics, and function, and to guide the development of more effective medicines. He collaborates extensively with experimentalists in both academia and industry. Before moving to Stanford, Dr. Dror served as second-in-command of D. E. Shaw Research, a hundred-person company, having joined as its first hire. He designed computer hardware, software, and algorithms that accelerate molecular dynamics simulations by orders of magnitude, and applied these simulations to the study of protein function, protein folding, and protein-drug interactions. Dr. Dror earned a PhD in Electrical Engineering and Computer Science at MIT, where he developed machine learning methods for computer vision and genomics. He earned an MPhil in Biological Sciences as a Churchill Scholar at the University of Cambridge, as well as undergraduate degrees in Mathematics and in Electrical and Computer Engineering at Rice University, summa cum laude. He has been awarded a Fulbright Scholarship and fellowships from the National Science Foundation, the Department of Defense, and the Whitaker Foundation, as well as two Gordon Bell Prizes and several Best Paper awards. His work has been highlighted by Science as a top-10 breakthrough of the year. Contact (650) 497-8586 ron.dror@stanford.edu Mail Code 9020 Links Dror Lab View Full Stanford Profile Back to Top",http://drorlab.stanford.edu/
