name,url,profile,additional_urls
Adam Boies,https://me.stanford.edu/people/adam-boies,"Main content start Associate Professor of Mechanical Engineering Adam Boies Associate Professor of Mechanical Engineering Adam Boies is head of the Aerosol and Nanotechnology for Energy and the Environment (ANEE) laboratory, which focuses on developing energy and environmental technologies through aerosol and nano-scale approaches that can either synthesize or measure aerosols, nanoparticles, or pollution. He was previously Professor of Nanomaterials and Aerosol Engineering and Head of the Energy Faculty at the Cambridge University Engineering Department. He served as director of the Advanced Carbon Application and Manufacturing network and was co-creator and Partnership Director of the Aerosol Science CDT. See www.ANEEStanford.com Contact aboies@stanford.edu Mail Code 4040 Links https://ANEEstanford.com/ View Full Stanford Profile Back to Top",https://ANEEstanford.com/
Wei Cai,https://me.stanford.edu/people/wei-cai,"Main content start Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering Wei Cai Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering Predicting mechanical strength of materials through theory and simulations of defect microstructures across atomic, mesoscopic and continuum scales. Developing new atomistic simulation methods for long time-scale processes, such as crystal growth and self-assembly.  Applying machine learning techniques to materials research. Modeling and experiments on the metallurgical processes in metal 3D printing.  Understanding microstructure-property relationship in materials for stretchable electronics, such as carbon nanotube networks and semiconducting elastomers. Education PhD, MIT, Nuclear Engineering  (2001) Contact (650) 736-1671 caiwei@stanford.edu Mail Code 4040 Links https://web.stanford.edu/~caiwei research group site Mechanics and Computation Group View Full Stanford Profile Back to Top",https://web.stanford.edu/~caiwei https://web.stanford.edu/
Ovijit Chaudhuri,https://me.stanford.edu/people/ovijit-chaudhuri,"Main content start Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering Ovijit Chaudhuri Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering Our group's research is focused at the intersection of mechanics and biology. We are interested in elucidating the underlying molecular mechanisms that give rise to the complex mechanical properties of cells, extracellular matrices, and tissues . Conversely, we are investigating how complex mechanical cues influence important biological processes such as cell division, differentiation, or cancer progression. Our approaches involve using force measurement instrumentation, such as atomic force microscopy, to exert and measure forces on materials and cells at the nanoscale, and the development of material systems for 3D cell culture that allow precise and independent manipulation of mechanical properties. Education Postdoctoral Fellow, Harvard University, Biomaterials  (2013) Ph.D., University of California, Berkeley and San Francisco, Bioengineering  (2009) B.S., University of California, Berkeley, Engineering Physics  (2003) Contact (650) 497-0315 chaudhuri@stanford.edu Mail Code 4038 Links Google scholar site View Full Stanford Profile Back to Top",https://scholar.google.com/citations?user=1guy5W4AAAAJ&hl=en&oi=ao
Steven Hartley Collins,https://me.stanford.edu/people/steve-collins,"Main content start Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering Steven Hartley Collins Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering Steve Collins is an Associate Professor of Mechanical Engineering at Stanford University, where he teaches courses on design and robotics and directs the Stanford Biomechatronics Laboratory. His primary focus is to speed and systematize the design and prescription of prostheses and exoskeletons using versatile device emulator hardware and human-in-the-loop optimization algorithms (Zhang et al. 2017, Science). Another interest is efficient autonomous devices, such as highly energy-efficient walking robots (Collins et al. 2005, Science) and exoskeletons that use no energy yet reduce the metabolic energy cost of human walking (Collins et al. 2015, Nature). Prof. Collins received his B.S. in Mechanical Engineering in 2002 from Cornell University, where he performed undergraduate research on passive dynamic walking robots. He received his Ph.D. in Mechanical Engineering in 2008 from the University of Michigan, where he performed research on the dynamics and control of human walking. He performed postdoctoral research on humanoid robots at T. U. Delft in the Netherlands. He was a professor of Mechanical Engineering and Robotics at Carnegie Mellon University for seven years. In 2017, he joined the faculty of Mechanical Engineering at Stanford University. Prof. Collins is a member of the Scientific Board of Dynamic Walking and the Editorial Board of Science Robotics. He has received the Young Scientist Award from the American Society of Biomechanics, the Best Medical Devices Paper from the International Conference on Robotics and Automation, and the student-voted Professor of the Year in his department. Education Ph.D., University of Michigan, Mechanical Engineering  (2008) B.S., Cornell University, Mechanical Engineering  (2002) Contact (650) 497-1917 stevecollins@stanford.edu Mail Code 4040 Links Stanford Biomechatronics Laboratory Personal Website Publications on Google Scholar View Full Stanford Profile Back to Top",http://biomechatronics.stanford.edu
Mark Cutkosky,https://me.stanford.edu/people/mark-cutkosky,"Main content start Fletcher Jones Professor in the School of Engineering Mark Cutkosky Fletcher Jones Professor in the School of Engineering Cutkosky applies analyses, simulations, and experiments to the design and control of robotic hands, tactile sensors, and devices for human/computer interaction. In manufacturing, his work focuses on design tools for rapid prototyping. Education PhD, Carnegie Mellon (1985) Contact (650) 721-9433 cutkosky@stanford.edu Mail Code 4021 Links Biomimetics and Dexterous Manipulation Lab View Full Stanford Profile Back to Top",http://bdml.stanford.edu
Eric Darve,https://me.stanford.edu/people/eric-darve,"Main content start Director, Institute for Computational and Mathematical Engineering (ICME) and Professor of Mechanical Engineering Eric Darve Director, Institute for Computational and Mathematical Engineering (ICME) and Professor of Mechanical Engineering The research interests of Professor Darve span across several domains, including machine learning for science and engineering, large-language models, transformer models, surrogate and reduced order modeling, stochastic inversing, anomaly detection, numerical linear algebra, high-performance, parallel, and GPU computing. Professor Darve received his Ph.D. in Applied Mathematics at the Jacques-Louis Lions Laboratory in the Pierre et Marie Curie University, Paris, France. His advisor was Prof. Olivier Pironneau, and his Ph.D. thesis was entitled ""Fast Multipole Methods for Integral Equations in Acoustics and Electromagnetics."" He was previously a student at the Ecole Normale Supérieure, rue d'Ulm, Paris, in Mathematics and Computer Science. Prof. Darve became a postdoctoral scholar with Profs. Moin and Pohorille at Stanford and NASA Ames in 1999 and joined the faculty at Stanford University in 2001. He is a member of the Institute for Computational and Mathematical Engineering. Prof. Darve has received many awards, including the H. Julian Allen Award, NASA (2010), the Habilitation à Diriger des Recherches, France (2007), the Leslie Fox Prize in Numerical Analysis, IMA (2001), and the James H. Clark Faculty Scholar, Stanford University (2001). Education PhD, Paris VI University, Paris, Applied Mathematics  (1999) MS, Paris IX University, Paris, Applied Mathematics  (1994) BS, Paris VI University, Paris, Mathematics and Physics  (1993) Contact darve@stanford.edu Mail Code 4040 Links https://me.stanford.edu/people/eric-darve View Full Stanford Profile Back to Top",https://me.stanford.edu/people/eric-darve
"Scott L. Delp, Ph.D.",https://me.stanford.edu/people/scott-delp,"Main content start Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery Scott L. Delp, Ph.D. Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery Scott L. Delp, Ph.D., is the James H. Clark Professor of Bioengineering, Mechanical Engineering, and Orthopaedic Surgery at Stanford University. He is the Founding Chairman of the Department of Bioengineering at Stanford, and Director of the Wu Tsai Human Performance Alliance at Stanford, a university-wide research initiative focused on discovering biological principles to optimize human performance and catalyze innovations in human health for all. Dr. Delp is also the Director of the Restore Center, an NIH national center focused on measuring real world rehabilitation outcomes, and Director of the Mobilize Center, a NIH National Center of Excellence focused on Big Data and Mobile Health. Scott is focused on developing technologies to advance movement science and human health. Software tools developed in his lab, including OpenSim and Simtk.org, have become the basis of an international collaboration involving thousands of students and scientists who exchange simulations of human movement. Prior to joining the faculty at Stanford, Delp was on the faculty at Northwestern University and the Rehabilitation Institute of Chicago. He has published over 325 research articles in the field of biomechanics and has published a textbook from MIT Press entitled Biomechanics of Movement: The Science of Sports, Robotics, and Rehabilitation. Professor Delp has co-founded six health technology companies and is a member of the U.S. National Academy of Engineering. Education Ph.D., Stanford University, Mechanical Engineering  (1990) M.S., Stanford University, Mechanical Engineering  (1986) B.S., Colorado State University, Mechanical Engineering  (1983) Contact (650) 723-1230 delp@stanford.edu Mail Code 5444 Links Neuromuscular Biomechanics Lab Google Scholar Profile Wu Tsai Human Performance Alliance Stanford University Mobilize Center Restore Center SimTK Wu Tsai Human Performance Alliance View Full Stanford Profile Back to Top",https://web.stanford.edu/group/nmbl/
Matthew R. Edwards,https://me.stanford.edu/people/matthew-edwards,"Main content start Assistant Professor of Mechanical Engineering Matthew R. Edwards Assistant Professor of Mechanical Engineering Matthew Edwards is an Assistant Professor of Mechanical Engineering. His research applies high-power lasers to the development of optical diagnostics for fluids and plasmas, the study of intense light-matter interactions, and the construction of compact light and particle sources, combining adaptive high-repetition-rate experiments and large-scale simulations to explore new regimes in fluid mechanics, thermodynamics, materials science, and plasma physics. Matthew received BSE, MA, and PhD degrees in Mechanical and Aerospace Engineering from Princeton University. He was then a Lawrence Fellow in the National Ignition Facility and Photon Science Directorate at Lawrence Livermore National Laboratory. Education PhD, Princeton University, Mechanical and Aerospace Engineering  (2019) MA, Princeton University, Mechanical and Aerospace Engineering  (2015) BSE, Princeton University, Mechanical and Aerospace Engineering  (2012) Contact mredwards@stanford.edu Mail Code 3032 Links Research Group Website Google Scholar View Full Stanford Profile Back to Top",https://edwardslab.stanford.edu/
Sean Follmer,https://me.stanford.edu/people/sean-follmer,"Main content start Associate Professor of Mechanical Engineering and, by courtesy, of Computer Science Sean Follmer Associate Professor of Mechanical Engineering and, by courtesy, of Computer Science Sean Follmer is an Associate Professor of Mechanical Engineering and Computer Science (by courtesy) at Stanford University. His Research in Human Computer Interaction, Haptics, and Human Robot Interaction explores the design of novel tactile physical interfaces and novel robotic devices. Dr. Follmer directs the Stanford Shape Lab and is a faculty member of the Stanford HCI Group. He is a core faculty member of the Design masters program focusing on innovation and human centered design at Stanford. The Shape lab explores how we can interact with digital information in a more physical and tangible way. Towards our goal of more human centered computing, we believe that interaction must be grounded in the physical world and leverage our innate abilities for spatial cognition and dexterous manipulation with our hands. We develop advanced technologies in robotics, mechatronics, and sensing to create interactive, dynamic physical 3D displays and haptic interfaces that allow 3D information to be touched as well as seen. We are specifically interested in using these novel interfaces to support richer remote collaboration, computer aided design, education, and interfaces for people with visual impairments. In pursuit of these goals, we use a design process grounded in iterative prototyping and human centered design and look to create new understanding about human perception and interaction through controlled studies. Our research in Human Computer Interaction and Human Machine Interaction currently directed the following areas: - Shape Changing and Tangible User Interfaces - Haptic Interaction - Accessible User Interfaces for People who Are Blind and Visually Impaired - Shape Changing Robotics - Design and Debugging Tools for Physical Computing and Robotic Systems Dr. Follmer received a PhD and a Masters from the MIT Media Lab in 2015 and 2011 (respectively) for his work in human-computer interaction, and a BS in Engineering with a focus on Product Design from Stanford University. His talk featured on TED.com was named one of the best science and tech TED talks of 2015 and has been viewed more than 1.5 million times. He has received numerous awards for his research and design work such as an Alfred P. Sloan Fellowship, NSF CAREER Award, Google Faculty Research Award, 17 Best Paper Awards and nominations from premier conferences in human-computer interaction (including Five Best papers at ACM UIST, Two Best Papers at ACM CHI and an IMWUT Distinguished Paper Award), Fast Company Innovation By Design Award, Red Dot Design Award, and a Laval Virtual Award. His work has been shown at the Smithsonian Cooper Hewitt Design Museum, Ars Electronica Center, and the Milan Design Week. Education Postdoctoral Associate, MIT Media Lab (2015) PhD, MIT Media Lab (2015) S.M., MIT Media Lab (2011) Contact sfollmer@stanford.edu Mail Code 4021 Links Shape Lab Site Talk on TED.com View Full Stanford Profile Back to Top",http://shape.stanford.edu
Kenneth Goodson,https://me.stanford.edu/people/kenneth-goodson,"Main content start Vice Provost for Graduate Education and Postdoctoral Affairs, Davies Family Provostial Professor, and Professor, by courtesy, of Materials Science and Engineering Kenneth Goodson Vice Provost for Graduate Education and Postdoctoral Affairs, Davies Family Provostial Professor, and Professor, by courtesy, of Materials Science and Engineering Ken Goodson specializes in heat transfer and energy conversion with applications to electric vehicles, data centers, and portable electronic devices.  He has mentored 55+ Stanford graduate students to their doctoral degrees in Mechanical Engineering, Electrical Engineering, and Materials Science, including dozens who are now professors at institutions including MIT, Princeton, and Stanford.  Under the DARPA ICECool Programs, his students developed a world-record heat sink for power conversion. While serving as Mechanical Engineering Chair & Vice Chair (2008-2019), Goodson led two strategic plans and recruited 15 faculty who transformed the department's scholarship and diversity.  Before starting as Stanford's Vice Provost for Graduate Education and Postdoctoral Affairs in 2025, he served as Senior Associate Dean for Research & Faculty Affairs in the School of Engineering. Goodson is a member of the National Academy of Engineering and received the Aristotle Award for graduate student mentorship from the Semiconductor Research Corporation.  He has 35 patents and is a Fellow with the National Academy of Inventors.  He co-founded Cooligy, which built heat sinks for Apple and was acquired by Emerson.  Goodson is a Fellow with AAAS, ASME, IEEE, and APS. He received the ASME Kraus Medal and Memorial Award, the IEEE Richard Chu Award, and the AIChE Kern Award. Goodson moonlights as a baritone oratorio soloist with appearances at Davies Symphony Hall and the Bing Concert Hall.  He held voice fellowships at the Tanglewood Music Festival and received the Sudler Prize for Arts Achievement.  His wife, Laura Dahl, is a concert pianist with the Stanford music faculty. Education PhD ME, MIT (1993) MSME, MIT. ONR Graduate Fellow (1991) BSME, MIT. Tau Beta Pi, Pi Tau Sigma (1989) BS Humanities, MIT. Phi Beta Kappa. Sudler Prize (1989) Contact goodson@stanford.edu Mail Code 3030 Links Stanford VPGE Research Lab Google Scholar Web of Science Woodworking Cycling View Full Stanford Profile Back to Top",https://vpge.stanford.edu
