name,url
Juan Alonso,https://aa.stanford.edu/people/juan-alonso
Manan Arya,https://aa.stanford.edu/people/manan-arya
Somil Bansal,https://aa.stanford.edu/people/somil-bansal
Andrew Kevin Barrows,https://aa.stanford.edu/people/andrew-barrows
Arthur Bryson,https://aa.stanford.edu/people/arthur-bryson
Brian Cantwell,https://aa.stanford.edu/people/brian-cantwell
Fu-Kuo Chang,https://aa.stanford.edu/people/fu-kuo-chang
Simone D'Amico,https://aa.stanford.edu/people/simone-damico
Sigrid Elschot,https://aa.stanford.edu/people/sigrid-elschot
Anton Ermakov,https://aa.stanford.edu/people/anton-ermakov
Charbel Farhat,https://aa.stanford.edu/people/charbel-farhat
Grace Gao,https://aa.stanford.edu/people/grace-gao
Kentaro Hara,https://aa.stanford.edu/people/ken-hara
Antony Jameson,https://aa.stanford.edu/people/antony-jameson
Mykel Kochenderfer,https://aa.stanford.edu/people/mykel-kochenderfer
Ilan Kroo,https://aa.stanford.edu/people/ilan-kroo
Sanjiva Lele,https://aa.stanford.edu/people/sanjiva-lele
Robert MacCormack,https://aa.stanford.edu/people/robert-maccormack
Bradford Parkinson,https://aa.stanford.edu/people/bradford-parkinson
Marco Pavone,https://aa.stanford.edu/people/marco-pavone
J David Powell,https://aa.stanford.edu/people/j-powell
Stephen Rock,https://aa.stanford.edu/people/stephen-rock
Maria Sakovsky,https://aa.stanford.edu/people/maria-sakovsky
Mac Schwager,https://aa.stanford.edu/people/mac-schwager
Debbie Senesky,https://aa.stanford.edu/people/debbie-senesky
Stephen Tsai,https://aa.stanford.edu/people/stephen-tsai
Todd Walter,https://aa.stanford.edu/people/todd-walter
