name,url,profile,additional_urls
Juan Alonso,https://aa.stanford.edu/people/juan-alonso,"Main content start Vance D. and Arlene C. Coffman Professor and the James and Anna Marie Spilker Chair of the Department of Aeronautics and Astronautics Juan Alonso Vance D. and Arlene C. Coffman Professor and the James and Anna Marie Spilker Chair of the Department of Aeronautics and Astronautics Prof. Alonso is the founder and director of the Aerospace Design Laboratory (ADL) where he specializes in the development of high-fidelity computational design methodologies to enable the creation of realizable and efficient aerospace systems. Prof. Alonso’s research involves a large number of different manned and unmanned applications including transonic, supersonic, and hypersonic aircraft, helicopters, turbomachinery, and launch and re-entry vehicles. He is the author of over 200 technical publications on the topics of computational aircraft and spacecraft design, multi-disciplinary optimization, fundamental numerical methods, and high-performance parallel computing. Prof. Alonso is keenly interested in the development of an advanced curriculum for the training of future engineers and scientists and has participated actively in course-development activities in both the Aeronautics & Astronautics Department (particularly in the development of coursework for aircraft design, sustainable aviation, and UAS design and operation) and for the Institute for Computational and Mathematical Engineering (ICME) at Stanford University. He was a member of the team that currently holds the world speed record for human powered vehicles over water. A student team led by Prof. Alonso also holds the altitude record for an unmanned electric vehicle under 5 lbs of mass. Education PhD, Princeton University, Mechanical & Aerospace Engineering  (1997) M.A., Princeton University, Mechanical & Aerospace Engineering  (1993) B.S., Massachusetts Institute of Technology, Aeronautics & Astronautics  (1991) Contact jjalonso@stanford.edu Mail Code 4035 Links http://adl.stanford.edu/people/jjalonso.html View Full Stanford Profile Back to Top",http://adl.stanford.edu/people/jjalonso.html
Manan Arya,https://aa.stanford.edu/people/manan-arya,"Main content start Assistant Professor of Aeronautics and Astronautics Manan Arya Manan Arya leads the Morphing Space Structures Laboratory. His research is on structures that can adapt their shape to respond to changing requirements. Examples include deployable structures for spacecraft that can stow in constrained volumes for launch and then unfold to larger sizes in space, terrestrial structures with variable geometry, and morphing robots. Key research thrusts include lightweight fiber-reinforced composite materials to enable innovative designs for flexible structures, and the algorithmic generation of the geometry of morphing structures – the arrangement of stiff and compliant elements – to enable novel folding mechanisms. He has published more than 20 journal and conference papers and has been awarded 5 US patents. Prior to joining Stanford, he was a Technologist at the Advanced Deployable Structures Laboratory at the Jet Propulsion Laboratory, California Institute of Technology, where he developed and tested breakthrough designs for space structures, including deployable reflectarrays, starshades, and solar arrays. Education Ph.D., California Institute of Technology, Space Engineering (2016) M.S., California Institute of Technology, Space Engineering (2012) B.A.Sc., University of Toronto, Engineering Science (2011) Contact manan.arya@stanford.edu Links Morphing Space Structures Lab Stanford Profile Back to Top",https://morphingspace.stanford.edu/
Somil Bansal,https://aa.stanford.edu/people/somil-bansal,"Main content start Assistant Professor of Aeronautics and Astronautics Somil Bansal Somil Bansal is an assistant professor at the Department of Aeronautics and Astronautics at Stanford. Before joining Stanford, he was an assistant professor in the ECE department at the University of Southern California. He received an MS and a Ph.D. in Electrical Engineering and Computer Sciences (EECS) from the University of California at Berkeley in 2014 and 2020, respectively. Before that, he obtained a B.Tech. in Electrical Engineering from the Indian Institute of Technology, Kanpur in 2012. After his PhD, he spent a year as a Research Scientist at Waymo (formerly known as the Google Self-Driving Car project). He has also collaborated closely with companies like Skydio, Google, Boeing, as well as NASA AMES/JPL. Somil is broadly interested in developing mathematical tools and algorithms for the control and analysis of safety-critical autonomous and robotic systems, with a special emphasis on ensuring the safety of learning-enabled systems. Somil has received several awards, most notably the NSF CAREER award, the Eli Jury Award at UC Berkeley for his doctoral research, the RSS Pioneer Award, and the Outstanding Graduate Student Instructor Award. Contact somil@stanford.edu Durand Building,Room 256 Links Safe and Intelligent Autonomy (SIA) Lab Stanford Profile Back to Top",https://smlbansal.github.io/sia-lab/index.html
Andrew Kevin Barrows,https://aa.stanford.edu/people/andrew-barrows,"Main content start Adjunct Professor Andrew Kevin Barrows Adjunct Professor, Aeronautics and Astronautics Contact abarrows@stanford.edu View Full Stanford Profile Back to Top",https://aa.stanford.edu/our-culture/diversity-equity-inclusion-belonging
Arthur Bryson,https://aa.stanford.edu/people/arthur-bryson,"Main content start Paul Pigott Professor of Engineering, Emeritus Arthur Bryson Paul Pigott Professor of Engineering, Emeritus Contact (650) 723-4755 bryson@sun-valley.stanford.edu View Full Stanford Profile Back to Top",https://aa.stanford.edu/our-culture/diversity-equity-inclusion-belonging 
Brian Cantwell,https://aa.stanford.edu/people/brian-cantwell,"Main content start Edward C. Wells Professor in the School of Engineering and Professor of Mechanical Engineering, Emeritus Brian Cantwell Edward C. Wells Professor in the School of Engineering and Professor of Mechanical Engineering, Emeritus Professor Cantwell's research interests are in the area of turbulent flow. Recent work has centered in three areas: the direct numerical simulation of turbulent shear flows, theoretical studies of the fine-scale structure of turbulence, and experimental measurements of turbulent structure in flames. Experimental studies include the development of particle-tracking methods for measuring velocity fields in unsteady flames and variable density jets. Research in turbulence simulation includes the development of spectral methods for simulating vortex rings, the development of topological methods for interpreting complex fields of data, and simulations of high Reynolds number compressible and incompressible wakes. Theoretical studies include predictions of the asymptotic behavior of drifting vortex pairs and vortex rings and use of group theoretical methods to study the nonlinear dynamics of turbulent fine-scale motions. Current projects include studies of fast-burning fuels for hybrid propulsion and decomposition of nitrous oxide for space propulsion. Education PhD, Caltech (1976) Contact cantwell@stanford.edu Mail Code 4035 Links https://web.stanford.edu/~cantwell/ View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~cantwell/
Fu-Kuo Chang,https://aa.stanford.edu/people/fu-kuo-chang,"Main content start Professor of Aeronautics and Astronautics Fu-Kuo Chang Professor of Aeronautics and Astronautics Professor Chang's primary research interest is in the areas of multi-functional materials and intelligent structures with particular emphases on structural health monitoring, intelligent self-sensing diagnostics, and multifunctional energy storage composites for transportation vehicles as well as safety-critical assets and medical devices. His specialties include embedded sensors and stretchable sensor networks with built-in self-diagnostics, integrated diagnostics and prognostics, damage tolerance and failure analysis for composite materials, and advanced multi-physics computational methods for multi-functional structures. Most of his work involves system integration and multi-disciplinary engineering in structural mechanics, electrical engineering, signal processing, and multi-scale fabrication of materials. His recent research topics include: Multifunctional energy storage composites, Integrated health management for aircraft structures, bio-inspired intelligent sensory materials for fly-by-feel autonomous vehicles, active sensing diagnostics for composite structures, self-diagnostics for high-temperature materials, etc. Education PhD, Michigan (1983) Contact fkchang@stanford.edu Mail Code 4035 Links Structures and Composites (SACL) laboratory View Full Stanford Profile Back to Top",https://sacld8.sites.stanford.edu/
Simone D'Amico,https://aa.stanford.edu/people/simone-damico,"Main content start Associate Professor of Aeronautics and Astronautics and, by courtesy, of Geophysics Simone D'Amico Associate Professor of Aeronautics and Astronautics and, by courtesy, of Geophysics Simone D’Amico is Associate Professor of Aeronautics and Astronautics (AA), W.M. Keck Faculty Scholar in the School of Engineering, and Professor of Geophysics (by Courtesy). He is the Founding Director of the Space Rendezvous Laboratory and Director of the AA Undergraduate Program. He received the B.S. and M.S. degrees from Politecnico di Milano (2003) and the Ph.D. degree from Delft University of Technology (2010). Before Stanford, Dr. D’Amico was research scientist and team leader at the German Aerospace Center (DLR) for 11 years. There he gave key contributions to formation-flying and proximity operations missions such as GRACE (NASA/DLR), PRISMA (OHB/DLR/CNES/DTU), TanDEM-X (DLR), BIROS (DLR) and PROBA-3 (ESA). His research aims at enabling future miniature distributed space systems for unprecedented remote sensing, space and planetary science, exploration and spaceflight sustainability. To this end he performs fundamental and applied research at the intersection of advanced astrodynamics, spacecraft Guidance, Navigation and Control (GNC), autonomy, decision making and space system engineering. Dr. D’Amico is institutional PI of three upcoming autonomous satellite swarm missions funded by NASA and NSF, namely STARLING, VISORS, and SWARM-EX. He is Fellow of AAS, Associate Fellow of AIAA, Associate Editor of AIAA JGCD, Advisor of NASA and several space startups. He was the recipient of several awards, including Best Paper Awards at IAF (2022), IEEE (2021), AIAA (2021), AAS (2019) conferences, the Leonardo 500 Award by the Leonardo da Vinci Society/ISSNAF (2019), FAI/NAA’s Group Diploma of Honor (2018), DLR’s Sabbatical/Forschungssemester (2012) and Wissenschaft Preis (2006), and NASA’s Group Achievement Award for the GRACE mission (2004). Education PhD, Technical University of Delft (The Netherlands), Aerospace Engineering  (2010) BS and MS, Politecnico di Milano (Italy), Aerospace Engineering  (2003) Contact (650) 272-9968 damicos@stanford.edu Mail Code 4035 Links Stanford's Space Rendezvous Laboratory Stanford's Aero/Astro Department 5th SFFMT Conference View Full Stanford Profile Back to Top",https://people.stanford.edu/damicos/
Sigrid Elschot,https://aa.stanford.edu/people/sigrid-elschot,"Main content start Associate Professor of Aeronautics and Astronautics Sigrid Elschot Associate Professor of Aeronautics and Astronautics Prof. Elschot's research involves space weather detection and modeling for improved spacecraft designs, and advanced signal processing and electromagnetic wave interactions with plasma for ground-to-satellite communication systems. These topics fall under the Space Situational Awareness (SSA) umbrella that include environmental remote sensing using satellite systems and ground-based radar. Her current efforts include using dust accelerators and light-gas guns to understand the effects of hypervelocity particle impacts on spacecraft along with Particle-In-Cell simulations, and using ground-based radars to characterize the space debris and meteoroid population remotely.  She also has active programs in hypersonic plasmas associated with re-entry vehicles. Contact (650) 725-2863 Mail Code 4035 Links Space Environment and Satellite Systems lab website View Full Stanford Profile Back to Top",http://sess.stanford.edu/
Anton Ermakov,https://aa.stanford.edu/people/anton-ermakov,"Main content start Assistant Professor of Aeronautics and Astronautics and, by courtesy, of Geophysics and of Earth and Planetary Sciences Anton Ermakov Assistant Professor of Aeronautics and Astronautics and, by courtesy, of Geophysics Dr. Ermakov's research lies at the intersection of planetary science and planetary exploration by robotic means and focuses on studying the internal structure and evolution of the Solar System bodies ranging from asteroids to gas giants. He received an Engineer Degree in Space Geodesy from the Moscow State University of Geodesy and Cartography in 2010 and a Ph.D. in Planetary Sciences from the Massachusetts Institute of Technology in 2017. After receiving his doctorate degree, Dr. Ermakov was a post-doctoral scholar at the Jet Propulsion Laboratory and at the Earth and Planetary Science Department of the University of California, Berkeley. Since 2021, Dr. Ermakov has been a research scientist at UC Berkeley's Space Sciences Lab. In his research, Dr. Ermakov combines a diverse range of spacecraft data (e.g., spacecraft radiometric tracking, stereo-imaging, magnetometry, microwave radiometry and geologic mapping) with geophysical and orbital dynamics modeling to probe the interiors and histories of Solar System bodies. Dr. Ermakov has been a member of the NASA Dawn mission team. Dawn was the first mission to orbit two small bodies in the Solar System: asteroid Vesta and dwarf Ceres. Small bodies are a time machine that lets us explore the environment in which planets formed. Combining gravity and topography data sets is one of the most powerful tool to study deep planetary interiors from orbit. Dr. Ermakov used gravity and shape data for detailed studies of asteroid Vesta's and dwarf planet Ceres's internal structures. The Dawn data have established a framework for future geophysical investigations of water-rich worlds in the outer Solar System such as Europa and Enceladus. Currently, Dr. Ermakov is a participating scientist in the NASA’s Juno mission. Juno is currently orbiting Jupiter and has performed several flybys of the Jovian moons. Dr. Ermakov uses the data from the Juno’s instrument suite to study the interior of Jupiter and its satellites in context of their formation and evolution models. Contact aie@stanford.edu Links Personal website Stanford Profile Back to Top",https://www.planetarygeodesy.com/
