name,url,profile,additional_urls
Zhenan Bao,https://cheme.stanford.edu/people/zhenan-bao,"Main content start K. K. Lee Professor, Senior Fellow at the Precourt Institute for Energy and Professor, by courtesy, of Materials Science and Engineering and of Chemistry Zhenan Bao K. K. Lee Professor, Senior Fellow at the Precourt Institute for Energy and Professor, by courtesy, of Materials Science and Engineering and of Chemistry Zhenan Bao joined Stanford University in 2004. She is currently a K.K. Lee Professor in Chemical Engineering, and with courtesy appointments in Chemistry and Material Science and Engineering. She was the Department Chair of Chemical Engineering from 2018-2022. She founded the Stanford Wearable Electronics Initiative (eWEAR) and is the current faculty director. She is also an affiliated faculty member of Precourt Institute, Woods Institute, ChEM-H and Bio-X. Professor Bao received her Ph.D. degree in Chemistry from The University of Chicago in 1995 and joined the Materials Research Department of Bell Labs, Lucent Technologies. She became a Distinguished Member of Technical Staff in 2001. Professor Bao currently has more than 700 refereed publications and more than 80 US patents with a Google Scholar H-index 226. Bao is a member of the US National Academy of Sciences, National Academy of Engineering, the American Academy of Arts and Sciences and the National Academy of Inventors. Bao was elected a foreign member of the Chinese Academy of Science in 2021. She is a Fellow of AAAS, ACS, MRS, SPIE, ACS POLY and ACS PMSE. Bao is a member of the Board of Directors for the Camille and Dreyfus Foundation from 2022. She served as a member of Executive Board of Directors for the Materials Research Society and Executive Committee Member for the Polymer Materials Science and Engineering division of the American Chemical Society. She was an Associate Editor for the Royal Society of Chemistry journal Chemical Science, Polymer Reviews and Synthetic Metals. She serves on the international advisory board for Advanced Materials, Advanced Energy Materials, ACS Nano, Accounts of Chemical Reviews, Advanced Functional Materials, Chemistry of Materials, Chemical Communications, Journal of American Chemical Society, Nature Asian Materials, Materials Horizon and Materials Today. She co-founded C3 Nano Co. and PyrAmes, which have produced products used in commercial smartphones and hospitals, respectively. Multiple inventions from her lab have been licensed and served as foundational technologies for several additional start-ups. Bao was a recipient of the VinFuture Prize Female Innovator 2022, ACS Award of Chemistry of Materials 2022, MRS Mid-Career Award in 2021, AICHE Alpha Chi Sigma Award 2021, ACS Central Science Disruptor and Innovator Prize in 2020, ACS Gibbs Medal in 2020, the Wilhelm Exner Medal from the Austrian Federal Minister of Science in 2018, the L'Oreal UNESCO Women in Science Award North America Laureate in 2017. She was awarded the ACS Applied Polymer Science Award in 2017, ACS Creative Polymer Chemistry Award in 2013 ACS Cope Scholar Award in 2011. She is a recipient of the Royal Society of Chemistry Beilby Medal and Prize in 2009, IUPAC Creativity in Applied Polymer Science Prize in 2008, American Chemical Society Team Innovation Award 2001, R&D 100 Award, and R&D Magazine Editors Choice Best of the Best new technology for 2001. Education MS, The University of Chicago, Chemistry  (1993) PhD, The University of Chicago, Chemistry  (1995) Contact Contact (650) 723-2419 Mail Code 4300 Links Bao Research Group Stanford Wearable Electronics Initiative (eWEAR) View Full Stanford Profile Back to Top",http://baogroup.stanford.edu
Stacey Bent,https://cheme.stanford.edu/people/stacey-bent,"Main content start Jagdeep & Roshni Singh Professor in the School of Eng, Professor of Energy Science and Eng, Senior Fellow at Precourt & Prof, by courtesy, of Electrical Eng, Materials Sci Eng & Chemistry Stacey Bent Jagdeep & Roshni Singh Professor in the School of Eng, Professor of Energy Science and Eng, Senior Fellow at Precourt & Prof, by courtesy, of Electrical Eng, Materials Sci Eng & Chemistry The research in the Bent laboratory is focused on understanding and controlling surface and interfacial chemistry and applying this knowledge to a range of problems in semiconductor processing, micro- and nano-electronics, nanotechnology, and sustainable and renewable energy. Much of the research aims to develop a molecular-level understanding in these systems, and hence the group uses of a variety of molecular probes. Systems currently under study in the group include functionalization of semiconductor surfaces, mechanisms and control of atomic layer deposition, molecular layer deposition, nanoscale materials for light absorption, interface engineering in photovoltaics, catalyst and electrocatalyst deposition. Education PhD, Stanford University, Chemistry  (1992) BS, U.C. Berkeley, Chemical Engineering  (1987) Contact sbent@stanford.edu Mail Code 2102 Links http://bentgroup.stanford.edu View Full Stanford Profile Back to Top",http://bentgroup.stanford.edu
Joseph M. DeSimone,https://cheme.stanford.edu/people/joseph-desimone,"Main content start Sanjiv Sam Gambhir Professor of Translational Medicine, Professor of Chemical Engineering and, by courtesy, of Chemistry, of Materials Science and Engineering, and of Operations, Information and Technology at the Graduate School of Business Joseph M. DeSimone Sanjiv Sam Gambhir Professor of Translational Medicine, Professor of Chemical Engineering and, by courtesy, of Chemistry, of Materials Science and Engineering, and of Operations, Information and Technology at the Graduate School of Business Joseph M. DeSimone is the Sanjiv Sam Gambhir Professor of Translational Medicine and Chemical Engineering at Stanford University. He holds appointments in the Departments of Radiology and Chemical Engineering with courtesy appointments in the Department of Chemistry and in Stanford’s Graduate School of Business. The DeSimone laboratory's research efforts are focused on developing innovative, interdisciplinary solutions to complex problems centered around advanced polymer 3D fabrication methods. In Chemical Engineering and Materials Science, the lab is pursuing new capabilities in digital 3D printing, as well as the synthesis of new polymers for use in advanced additive technologies. In Translational Medicine, research is focused on exploiting 3D digital fabrication tools to engineer new vaccine platforms, enhanced drug delivery approaches, and improved medical devices for numerous conditions, with a current major focus in pediatrics. Complementing these research areas, the DeSimone group has a third focus in Entrepreneurship, Digital Transformation, and Manufacturing. Before joining Stanford in 2020, DeSimone was a professor of chemistry at the University of North Carolina at Chapel Hill and of chemical engineering at North Carolina State University. He is also Co-founder, Board Chair, and former CEO (2014 - 2019) of the additive manufacturing company, Carbon. DeSimone is responsible for numerous breakthroughs in his career in areas including green chemistry, medical devices, nanomedicine, and 3D printing. He has published over 350 scientific articles and is a named inventor on over 200 issued patents. Additionally, he has mentored 80 students through Ph.D. completion in his career, half of whom are women and members of underrepresented groups in STEM. In 2016 DeSimone was recognized by President Barack Obama with the National Medal of Technology and Innovation, the highest U.S. honor for achievement and leadership in advancing technological progress. He has received numerous other major awards in his career, including the U.S. Presidential Green Chemistry Challenge Award (1997); the American Chemical Society Award for Creative Invention (2005); the Lemelson-MIT Prize (2008); the NIH Director’s Pioneer Award (2009); the AAAS Mentor Award (2010); the Heinz Award for Technology, the Economy and Employment (2017); the Wilhelm Exner Medal (2019); the EY Entrepreneur of the Year Award (2019 U.S. Overall National Winner); and the Harvey Prize in Science and Technology (2020). He is one of only 25 individuals elected to all three branches of the U.S. National Academies (Sciences, Medicine, Engineering). DeSimone received his B.S. in Chemistry in 1986 from Ursinus College and his Ph.D. in Chemistry in 1990 from Virginia Tech. Contact jmdesimone@stanford.edu Mail Code 5427 Links My Lab site View Full Stanford Profile Back to Top",https://desimonegroup.stanford.edu/
Alexander Dunn,https://cheme.stanford.edu/people/alexander-dunn,"Main content start Professor of Chemical Engineering Alexander Dunn Professor of Chemical Engineering Alex Dunn is a Professor in the Department of Chemical Engineering at Stanford University. His research focuses on understanding how living cells sense mechanical stimuli, with particular interests in stem cell biology and tissue engineering. Dr. Dunn worked as a postdoctoral scholar with James Spudich in the Department of Biochemistry at the Stanford University School of Medicine. He received his Ph.D. at the California Institute of Technology under the direction of Harry Gray, where his work focused on understanding the catalytic mechanism selective C-H bond oxidation by cytochrome P450 enzymes. His work has been recognized with numerous awards, including the Hertz Fellowship, the Burroughs Wellcome Career Award at the Scientific Interface, the NIH Director’s New Innovator Award, and the HHMI Faculty Scholar Award. Education PhD, Caltech (2003) Contact alex.dunn@stanford.edu Mail Code 5025 Links http://dunngroup.stanford.edu View Full Stanford Profile Back to Top",http://dunngroup.stanford.edu
Gerald Fuller,https://cheme.stanford.edu/people/gerald-fuller,"Main content start Fletcher Jones Professor in the School of Engineering Gerald Fuller Fletcher Jones Professor in the School of Engineering The processing of complex liquids (polymers, suspensions, emulsions, biological fluids) alters their microstructure through orientation and deformation of their constitutive elements. In the case of polymeric liquids, it is of interest to obtain in situ measurements of segmental orientation and optical methods have proven to be an excellent means of acquiring this information. Research in our laboratory has resulted in a number of techniques in optical rheometry such as high-speed polarimetry (birefringence and dichroism) and various microscopy methods (fluorescence, phase contrast, and atomic force microscopy). The microstructure of polymeric and other complex materials also cause them to have interesting physical properties and respond to different flow conditions in unusual manners. In our laboratory, we are equipped with instruments that are able to characterize these materials such as shear rheometer, capillary break up extensional rheometer, and 2D extensional rheometer. Then, the response of these materials to different flow conditions can be visualized and analyzed in detail using high speed imaging devices at up to 2,000 frames per second. There are numerous processes encountered in nature and industry where the deformation of fluid-fluid interfaces is of central importance. Examples from nature include deformation of the red blood cell in small capillaries, cell division and structure and composition of the tear film. Industrial applications include the processing of emulsions and foams, and the atomization of droplets in ink-jet printing. In our laboratory, fundamental research is in progress to understand the orientation and deformation of monolayers at the molecular level. These experiments employ state of the art optical methods such as polarization modulated dichroism, fluorescence microscopy, and Brewster angle microscopy to obtain in situ measurements of polymer films and small molecule amphiphile monolayers subject to flow. Langmuir troughs are used as the experimental platform so that the thermodynamic state of the monolayers can be systematically controlled. For the first time, well characterized, homogeneous surface flows have been developed, and real time measurements of molecular and microdomain orientation have been obtained. These microstructural experiments are complemented by measurements of the macroscopic, mechanical properties of the films. Education PhD, Caltech (1980) Contact (650) 723-9243 ggf@stanford.edu Mail Code 4300 Links Fuller Research Group View Full Stanford Profile Back to Top",https://fullergroup.stanford.edu
Thomas Jaramillo,https://cheme.stanford.edu/people/thomas-jaramillo,"Main content start Professor of Chemical Engineering, of Energy Science Engineering, of Photon Science and Senior Fellow at the Precourt Institute for Energy Thomas Jaramillo Professor of Chemical Engineering, of Energy Science Engineering, of Photon Science and Senior Fellow at the Precourt Institute for Energy Recent years have seen unprecedented motivation for the emergence of new energy technologies. Global dependence on fossil fuels, however, will persist until alternate technologies can compete economically. We must develop means to produce energy (or energy carriers) from renewable sources and then convert them to work as efficiently and cleanly as possible. Catalysis is energy conversion, and the Jaramillo laboratory focuses on fundamental catalytic processes occurring on solid-state surfaces in both the production and consumption of energy. Chemical-to-electrical and electrical-to-chemical energy conversion are at the core of the research. Nanoparticles, metals, alloys, sulfides, nitrides, carbides, phosphides, oxides, and biomimetic organo-metallic complexes comprise the toolkit of materials that can help change the energy landscape. Tailoring catalyst surfaces to fit the chemistry is our primary challenge. Education PhD, University of California, Santa Barbara (2004) MS, University of California, Santa Barbara, Chemical Engineering  (2000) BS, Stanford, Chemical Engineering  (1998) Contact jaramillo@stanford.edu Mail Code 5025 Links http://jaramillogroup.stanford.edu View Full Stanford Profile Back to Top",http://jaramillogroup.stanford.edu
Chaitan Khosla,https://cheme.stanford.edu/people/chaitan-khosla,"Main content start Wells H. Rauser and Harold M. Petiprin Professor and Professor of Chemistry and, by courtesy, of Biochemistry Chaitan Khosla Wells H. Rauser and Harold M. Petiprin Professor and Professor of Chemistry and, by courtesy, of Biochemistry Research in this laboratory focuses on problems where deep insights into enzymology and metabolism can be harnessed to improve human health. For the past two decades, we have studied and engineered enzymatic assembly lines called polyketide synthases that catalyze the biosynthesis of structurally complex and medicinally fascinating antibiotics in bacteria. An example of such an assembly line is found in the erythromycin biosynthetic pathway. Our current focus is on understanding the structure and mechanism of this polyketide synthase. At the same time, we are developing methods to decode the vast and growing number of orphan polyketide assembly lines in the sequence databases. For more than a decade, we have also investigated the pathogenesis of celiac disease, an autoimmune disorder of the small intestine, with the goal of discovering therapies and related management tools for this widespread but overlooked disease. Ongoing efforts focus on understanding the pivotal role of transglutaminase 2 in triggering the inflammatory response to dietary gluten in the celiac intestine. Education Postdoc, John Innes Centre, U.K., Genetics  (1992) PhD, California Institute of Technology, Chemical Engineering  (1990) Contact (650) 723-6538 khosla@stanford.edu Mail Code 5080 Links https://web.stanford.edu/group/khosla/cgi-bin/ View Full Stanford Profile Back to Top",https://web.stanford.edu/group/khosla/cgi-bin/
Eric S.G. Shaqfeh,https://cheme.stanford.edu/people/eric-shaqfeh,"Main content start Lester Levi Carter Professor and Professor of Mechanical Engineering Eric S.G. Shaqfeh Lester Levi Carter Professor and Professor of Mechanical Engineering Eric Shaqfeh is the Lester Levi Carter Professor  of Chemical Engineering at Stanford University.  He earned a B.S.E. summa cum laude from Princeton University (1981), and a M.S. (1982) and Ph.D. (1986) from Stanford University all in Chemical Engineering. In 1986, he was a NATO postdoctoral fellow at the Department of Applied Mathematics and Theoretical Physics at the University of Cambridge. From 1987 through 1989 he was employed as a Member of Technical Staff at AT&T Bell Laboratories in Murray Hill, NJ before joining the Stanford Chemical Engineering faculty in early 1990. In 2001 he received a dual appointment and became Professor of Mechanical Engineering. He is most recently (as of 2004) a faculty member in the Institute of Computational and Mathematical Engineering at Stanford. Shaqfeh’s current research interests include non-Newtonian fluid mechanics (especially in the area of elastic instabilities, and turbulent drag reduction), nonequilibrium polymer statistical dynamics (focusing on single molecules studies of DNA), and suspension mechanics (particularly of fiber suspensions and particles/vesicles in microfluidics).  He has authored or co-authored over 200 publications and has been an Associate Editor of the Physical Review Fluids since 2016. Shaqfeh has received the APS Francois N. Frenkiel Award 1989, the NSF Presidential Young Investigator Award 1990, the David and Lucile Packard Fellowship in Science and Engineering 1991, the Camile and Henry Dreyfus Teacher--Scholar Award 1994, the W.M. Keck Foundation Engineering Teaching Excellence Award 1994, the 1998 ASEE Curtis W. McGraw Award,the 2011 Bingham Medal from the Society of Rheology, and the 2018 Alpha Chi Sigma Award from the AICHE. A Fellow of the American Physical Society (2001) and a member of the National Academy of Engineering(2013), he has held a number of professional lectureships, most recently the Merck Distinguished Lectureship, Rutgers (2003), the Corrsin Lectureship, Johns  Hopkins (2003) and the Katz Lectureship, CCNY (2004). He was also the Hougen Professor of Chemical Engineering at the University of Wisconsin (2004) and the Probstein Lecturer at MIT (2011). Education BS, Princeton University, Chemical Engineering (and Engineering Physics)  (1981) MS, Stanford University, Chemical Engineering  (1982) PhD, Stanford University, Chemical Engineering  (1986) Contact (650) 723-3764 esgs@stanford.edu Mail Code 4300 Links My Research Site View Full Stanford Profile Back to Top",https://shaqfehgroup.wordpress.com
Andrew Spakowitz,https://cheme.stanford.edu/people/andrew-spakowitz,"Main content start Senior Associate Dean for Research and Faculty Affairs, Professor of Chemical Engineering, of Materials Science and Engineering and, by courtesy, of Applied Physics Andrew Spakowitz Senior Associate Dean for Research and Faculty Affairs, Professor of Chemical Engineering, of Materials Science and Engineering and, by courtesy, of Applied Physics Theory and Computation of Biological Processes and Complex Materials The Spakowitz lab is engaged in projects that address fundamental chemical and physical phenomena underlying a range of biological processes and soft-material applications. Current research in our lab focuses on four main research themes: chromosomal organization and dynamics, protein self-assembly, polymer membranes, and charge transport in conducting polymers. These broad research areas offer complementary perspectives on chemical and physical processes, and we leverage this complementarity throughout our research. Our approach draws from a diverse range of theoretical and computational methods, including analytical theory of semiflexible polymers, polymer field theory, continuum elastic mechanics, Brownian dynamics simulation, equilibrium and dynamic Monte Carlo simulations, and analytical theory and numerical simulations of reaction-diffusion phenomena. A common thread in our work is the need to capture phenomena over many length and time scales, and our flexibility in research methodologies provides us with the critical tools to address these complex multidisciplinary problems. Education PhD, California Institute of Technology (2004) Contact ajspakow@stanford.edu Mail Code 4027 Links Spakowitz Research Group Website View Full Stanford Profile Back to Top",http://web.stanford.edu/~ajspakow/
James Swartz,https://cheme.stanford.edu/people/james-swartz,"Main content start James H. Clark Professor in the School of Engineering and Professor of Chemical Engineering and of Bioengineering James Swartz James H. Clark Professor in the School of Engineering and Professor of Chemical Engineering and of Bioengineering Professor Swartz received his first lessons in resourcefulness and persistence growing up on a farm in South Dakota. After earning a BS in Chemical Engineering with Highest Honors from S. Dak. School of Mines and Technology, he began his professional career with Union Oil Co. of CA in Casper, Wyoming. Serving in the Drilling, Reservoir Engineering, and Production Departments provided an appreciation of the complexity and importance of large scale energy technologies. That experience also strengthened his belief that biological technologies offered the power and versatility to better address evolving societal needs. The MIT graduate programs in chemical engineering (MS) and biochemical engineering (Dsc) helped strengthen his biological training while broadening an appreciation for this emerging field. Following a 3 month exchange visit to the Soviet Union, he gained additional experience at Eli Lilly and participated in the development of the first recombinant DNA pharmaceutical to be approved, rDNA insulin. After two years, he moved to Genentech to help establish their drug production capability, developing the fermentation process for their first product, rDNA growth hormone. After 17 years at Genentech in various line and project leadership positions, he joined the Stanford Chemical Engineering Department with a focus on an embryonic technology called cell-free protein synthesis (CFPS). Multiple technology breakthroughs from his lab motivated the founding of Sutro Biopharma which now has four promising anti-cancer drugs in clinical trials. A new company called Vaxcyte later spun out of Sutro to focus on complex human vaccines enabled by CFPS. Both companies are now publicly traded. Another company, GreenLight Biosciences, is focusing on inexpensive, large scale RNA production for use against agricultural pests. At Stanford, Professor Swartz is now focusing on expanding the basic capabilities of cell-free bioprocess while also developing technologies for targeted drug development, vaccines, circulating tumor cell assays, the carbon negative production of commodity biochemicals, and for economically attractive photosynthetic hydrogen production. Education BS, S. Dak. School of Mines and Technology, Chemical Engineering  (1971) MS, MIT, Chemical Engineering  (1975) ScD, MIT, Biochemical Engineering  (1978) Contact (650) 723-5398 jswartz@stanford.edu Mail Code 4300 Links My lab site View Full Stanford Profile Back to Top",https://swartzbiotechnologylab.sites.stanford.edu/
