name,url,profile,additional_urls
Sara Achour,https://www.cs.stanford.edu/people/sara-achour,"Main content start Assistant Professor of Computer Science and of Electrical Engineering Sara Achour Assistant Professor of Computer Science and of Electrical Engineering Education PhD, Massachusetts Institute of Technology, Computer Science  (2021) Contact sachour@stanford.edu Mail Code 9045 Links Personal Site View Full Stanford Profile Back to Top",https://stanford.edu/~sachour
Maneesh Agrawala,https://www.cs.stanford.edu/people/maneesh-agrawala,"Main content start Forest Baskett Professor and Professor, by courtesy, of Electrical Engineering Maneesh Agrawala Forest Baskett Professor and Professor, by courtesy, of Electrical Engineering Maneesh Agrawala is the Forest Baskett Professor of Computer Science and Director of the Brown Institute for Media Innovation at Stanford University. He was previously a Professor of Electrical Engineering and Computer Science at the University of California, Berkeley (2005 - 2015). He works on computer graphics, human computer interaction and visualization. His focus is on investigating how cognitive design principles can be used to improve the effectiveness of audio/visual media. The goals of this work are to discover the design principles and then instantiate them in both interactive and automated design tools. He received an Okawa Foundation Research Grant in 2006, an Alfred P. Sloan Foundation Fellowship and an NSF CAREER Award in 2007, a SIGGRAPH Significant New Researcher Award in 2008, and a MacArthur Foundation Fellowship in 2009. Education Ph.D., Stanford University, Computer Science  (2002) B.S., Stanford University, Mathematics  (1994) Contact (650) 723-2642 maneesh@cs.stanford.edu Mail Code 9035 Links Website at Stanford Old UC Berkeley website View Full Stanford Profile Back to Top",http://graphics.stanford.edu/~maneesh
Alex Aiken,https://www.cs.stanford.edu/people/alex-aiken,"Main content start Alcatel-Lucent Professor of Communications and Networking, Professor of Particle Physics and Astrophysics, and of Photon Science Alex Aiken Alcatel-Lucent Professor of Communications and Networking, Professor of Particle Physics and Astrophysics, and of Photon Science Alex Aiken is the Alcatel-Lucent Professor of Computer Science at Stanford. Alex received his Bachelors degree in Computer Science and Music from Bowling Green State University in 1983 and his Ph.D. from Cornell University in 1988. Alex was a Research Staff Member at the IBM Almaden Research Center (1988-1993) and a Professor in the EECS department at UC Berkeley (1993-2003) before joining the Stanford faculty in 2003. His research interest is in areas related to programming languages. Education PhD, Cornell (1988) Contact (650) 725-3359 aaiken@stanford.edu Mail Code 9040 Links http://theory.stanford.edu/~aiken Google Scholar View Full Stanford Profile Back to Top",http://theory.stanford.edu/ http://theory.stanford.edu/~aiken
Nima Anari,https://www.cs.stanford.edu/people/nima-anari,"Main content start Assistant Professor of Computer Science Nima Anari Assistant Professor of Computer Science Education Ph.D., University of California, Berkeley, Computer Science  (2015) B.Sc., Sharif University of Technology, Computer Engineering  (2010) B.Sc., Sharif University of Technology, Pure Mathematics  (2010) Contact anari@stanford.edu Mail Code 9045 Links Personal Website View Full Stanford Profile Back to Top",https://nimaanari.com
Zain Asgar,https://www.cs.stanford.edu/people/zain-asgar,Main content start Adjunct Professor Zain Asgar Adjunct Professor Contact zasgar@stanford.edu Back to Top,https://www.cs.stanford.edu/events
Stephen B. Montgomery,https://www.cs.stanford.edu/people/stephen-b-montgomery,"Main content start Professor of Pathology, of Genetics and of Biomedical Data Science, by courtesy, of Computer Science Stephen B. Montgomery Professor of Pathology, of Genetics and of Biomedical Data Science, by courtesy, of Computer Science Education B.A.Sc., University of British Columbia, Engineering Physics (2002) Ph.D., University of British Columbia, Genetics (2006) Contact (650) 725-9641 smontgom@stanford.edu Mail Code 5324 Links Montgomery Lab Official Website GREGoR Stanford Site Back to Top",https://med.stanford.edu/montgomerylab.html
Peter Bailis,https://www.cs.stanford.edu/people/peter-bailis-0,Main content start Adjunct Professor Peter Bailis Adjunct Professor Back to Top,https://www.cs.stanford.edu/events
Clark Barrett,https://www.cs.stanford.edu/people/clark-barrett,"Main content start Professor (Research) of Computer Science Clark Barrett Professor (Research) of Computer Science Clark Barrett is a Professor (Research) of Computer Science at Stanford University.  Before coming to Stanford in 2016, he was an Associate Professor of Computer Science at the Courant Institute of Mathematical Sciences at New York University. His expertise is in automated reasoning and its applications. His PhD dissertation (Stanford, 2003) introduced a novel automated reasoning technique now known as Satisfiability Modulo Theories (SMT).  He was an early pioneer in formal hardware verification as part of 0-in Design Automation (now part of Siemens/Mentor Graphics), where he helped build one of the first industrially successful assertion-based verification tool-sets for hardware.  More recently, he has also pioneered techniques for applying formal methods to neural networks.  His current work focuses on the development and application of automated reasoning techniques to improve reliability and security of software, hardware, and machine learning systems.  He is the director of the Stanford Center for Automated Reasoning (Centaur) and co-director of the Stanford Center for AI Safety.  He is an ACM Distinguished Scientist and a winner of the Computer Aided Verification (CAV) award in 2021 and 2024. Education Ph.D., Stanford University, Computer Science  (2003) Contact (650) 736-0822 barrettc@stanford.edu Mail Code 9040 Links Center for Automated Reasoning View Full Stanford Profile Back to Top",http://centaur.stanford.edu
Gill Bejerano,https://www.cs.stanford.edu/people/gill-bejerano,"Main content start Professor of Developmental Biology, of Computer Science, of Pediatrics (Genetics) and of Biomedical Data Science Gill Bejerano Professor of Developmental Biology, of Computer Science, of Pediatrics (Genetics) and of Biomedical Data Science Gill Bejerano holds a B.Sc. In Mathematics, Physics and Computer Science, and a Ph.D in Computer Science (Machine Learning applications in Biology) from Hebrew University of Jerusalem. Gill got into genomics in 2003, started a wet lab in 2007, began analyzing patient genomes and medical records in 2014, got into cryptogenomics in 2017 and has become very interested in healthcare economics and patient risk management in 2021. He is recognized by multiple academic awards including two best paper and tomorrow's PI awards, Mallinckrodt, Sloan, Human Frontiers, Searle, Okawa, David and Lucile Packard, Microsoft and Sony Scholar awards. Gill has trained, collaborated and advised computational scientists, experimentalists, clinicians, and MBAs and has helped both start-ups and Fortune 500 companies. Education Ph.D., Hebrew University, Computer Science  (2004) B.Sc., Hebrew University, Physics, Mathematics, Computer Science (summa cum laude)  (1997) Contact Mail Code 5329 Links Bejerano Lab View Full Stanford Profile Back to Top",http://bejerano.stanford.edu
Michael Bernstein,https://www.cs.stanford.edu/people/michael-bernstein,"Main content start Associate Professor of Computer Science and Senior Fellow at the Stanford Institute for Human-Centered AI Michael Bernstein Associate Professor of Computer Science and Senior Fellow at the Stanford Institute for Human-Centered AI Michael Bernstein is an Associate Professor of Computer Science at Stanford University, where he is a Bass University Fellow, Senior Fellow at the Stanford Institute for Human-Centered Artificial Intelligence, and Interim Director of the Symbolic Systems Program. His research focuses on designing social, societal, and interactive technologies. His research has been reported in venues such as The New York Times, TED AI, and MIT Technology Review, and Michael himself has been recognized with an Alfred P. Sloan Fellowship, the UIST Lasting Impact Award, and the Computer History Museum's Patrick J. McGovern Tech for Humanity Prize. Michael holds a bachelor's degree in Symbolic Systems from Stanford University, as well as a master's degree and a Ph.D. in Computer Science from MIT. Education PhD, MIT, Computer Science  (2012) SM, MIT, Computer Science  (2008) BS, Stanford University, Symbolic Systems  (2006) Contact msb@cs.stanford.edu Mail Code 9035 Links Personal web site Google Scholar Stanford online human-computer interaction certificate View Full Stanford Profile Back to Top",http://hci.stanford.edu/msb/
