name,url
Sarah Billington,https://cee.stanford.edu/people/sarah-billington
Alexandria Boehm,https://cee.stanford.edu/people/alexandria-boehm
Michael Lepech,https://cee.stanford.edu/people/michael-lepech
Iro Armeni,https://cee.stanford.edu/people/iro-armeni
Christine M Baker,https://cee.stanford.edu/people/christine-baker
Jack Baker,https://cee.stanford.edu/people/jack-baker
Sarah Billington,https://cee.stanford.edu/people/sarah-billington
Alexandria Boehm,https://cee.stanford.edu/people/alexandria-boehm
Ronaldo Borja,https://cee.stanford.edu/people/ronaldo-borja
Jenna Davis,https://cee.stanford.edu/people/jenna-davis
Gregory Deierlein,https://cee.stanford.edu/people/gregory-deierlein
Martin Fischer,https://cee.stanford.edu/people/martin-fischer
Sarah Fletcher,https://cee.stanford.edu/people/sarah-fletcher
Oliver Fringer,https://cee.stanford.edu/people/oliver-fringer
Catherine Gorle,https://cee.stanford.edu/people/catherine-gorle
Lynn Hildemann,https://cee.stanford.edu/people/lynn-hildemann
Mark Z. Jacobson,https://cee.stanford.edu/people/mark-jacobson
Rishee Jain,https://cee.stanford.edu/people/rishee-jain
Anne Kiremidjian,https://cee.stanford.edu/people/anne-kiremidjian
Peter K. Kitanidis,https://cee.stanford.edu/people/peter-kitanidis
Kincho Law,https://cee.stanford.edu/people/kincho-law
Michael Lepech,https://cee.stanford.edu/people/michael-lepech
Christian Linder,https://cee.stanford.edu/people/christian-linder
Richard Luthy,https://cee.stanford.edu/people/richard-luthy
Eduardo Miranda,https://cee.stanford.edu/people/eduardo-miranda
William Mitch,https://cee.stanford.edu/people/william-mitch
Stephen Monismith,https://cee.stanford.edu/people/stephen-monismith
Hae Young Noh,https://cee.stanford.edu/people/haeyoung-noh
Khalid Osman,https://cee.stanford.edu/people/khalid-osman
Nicholas Ouellette,https://cee.stanford.edu/people/nicholas-ouellette
Erica Plambeck,https://cee.stanford.edu/people/erica-plambeck
Ram Rajagopal,https://cee.stanford.edu/people/ram-rajagopal
Barbara G Simpson,https://cee.stanford.edu/people/barbara-simpson
