name,url
Zhenan Bao,https://cheme.stanford.edu/people/zhenan-bao
Stacey Bent,https://cheme.stanford.edu/people/stacey-bent
Joseph M. DeSimone,https://cheme.stanford.edu/people/joseph-desimone
Alexander Dunn,https://cheme.stanford.edu/people/alexander-dunn
Gerald Fuller,https://cheme.stanford.edu/people/gerald-fuller
Thomas Jaramillo,https://cheme.stanford.edu/people/thomas-jaramillo
Chaitan Khosla,https://cheme.stanford.edu/people/chaitan-khosla
Eric S.G. Shaqfeh,https://cheme.stanford.edu/people/eric-shaqfeh
Andrew Spakowitz,https://cheme.stanford.edu/people/andrew-spakowitz
James Swartz,https://cheme.stanford.edu/people/james-swartz
Matteo Cargnello,https://cheme.stanford.edu/people/matteo-cargnello
Jian Qin,https://cheme.stanford.edu/people/jian-qin
Elizabeth Sattely,https://cheme.stanford.edu/people/elizabeth-sattely
Sho Takatori,https://cheme.stanford.edu/people/sho-takatori
Monther Abu-Remaileh,https://cheme.stanford.edu/people/monther-abu-remaileh
Xiaojing Gao,https://cheme.stanford.edu/people/xiaojing-gao
Brian Hie,https://cheme.stanford.edu/people/brian-hie
Danielle Mai,https://cheme.stanford.edu/people/danielle-mai
Rebecca Pinals,https://cheme.stanford.edu/people/rebecca-pinals
William Abraham Tarpeh,https://cheme.stanford.edu/people/william-tarpeh
Ying Chih Chang,https://cheme.stanford.edu/people/ying-chih-chang
Lisa Hwang,https://cheme.stanford.edu/people/lisa-hwang
Ricardo B Levy,https://cheme.stanford.edu/people/ricardo-levy
Shari Libicki,https://cheme.stanford.edu/people/shari-libicki
John Moalli,https://cheme.stanford.edu/people/john-moalli
Howard Rosen,https://cheme.stanford.edu/people/howard-rosen
Do Y. Yoon,https://cheme.stanford.edu/people/do-yoon
