name,url
Sara Achour,https://www.cs.stanford.edu/people/sara-achour
Maneesh Agrawala,https://www.cs.stanford.edu/people/maneesh-agrawala
Alex Aiken,https://www.cs.stanford.edu/people/alex-aiken
Nima Anari,https://www.cs.stanford.edu/people/nima-anari
Zain Asgar,https://www.cs.stanford.edu/people/zain-asgar
Stephen B. Montgomery,https://www.cs.stanford.edu/people/stephen-b-montgomery
Peter Bailis,https://www.cs.stanford.edu/people/peter-bailis-0
Clark Barrett,https://www.cs.stanford.edu/people/clark-barrett
Gill Bejerano,https://www.cs.stanford.edu/people/gill-bejerano
Michael Bernstein,https://www.cs.stanford.edu/people/michael-bernstein
Thomas Binford,https://www.cs.stanford.edu/people/thomas-binford
Jeannette Bohg,https://www.cs.stanford.edu/people/jeannette-bohg
Dan Boneh,https://www.cs.stanford.edu/people/dan-boneh
Adam Bouland,https://www.cs.stanford.edu/people/adam-bouland
Emma Brunskill,https://www.cs.stanford.edu/people/emma-brunskill
Mike Carbin Carbin,https://www.cs.stanford.edu/people/mike-carbin
Edward Chang,https://www.cs.stanford.edu/people/edward-chang-0
Moses Charikar,https://www.cs.stanford.edu/people/moses-charikar
William Dally,https://www.cs.stanford.edu/people/william-dally-0
Dora Demszky,https://www.cs.stanford.edu/people/dora-demszky
Ron Dror,https://www.cs.stanford.edu/people/ron-dror
Zakir Durumeric,https://www.cs.stanford.edu/people/zakir-durumeric
Dawson Engler,https://www.cs.stanford.edu/people/dawson-engler
Stefano Ermon,https://www.cs.stanford.edu/people/stefano-ermon
Kayvon Fatahalian,https://www.cs.stanford.edu/people/kayvon-fatahalian
Ron Fedkiw,https://www.cs.stanford.edu/people/ron-fedkiw
Edward Feigenbaum,https://www.cs.stanford.edu/people/edward-feigenbaum
Chelsea Finn,https://www.cs.stanford.edu/people/chelsea-finn
Emily Fox,https://www.cs.stanford.edu/people/emily-fox
Adrien Gaidon,https://www.cs.stanford.edu/people/adrien-gaidon
Michael Genesereth,https://www.cs.stanford.edu/people/michael-genesereth
Noah Goodman,https://www.cs.stanford.edu/people/noah-goodman
Christopher Gregg,https://www.cs.stanford.edu/people/christopher-gregg
Carlos Ernesto Guestrin,https://www.cs.stanford.edu/people/carlos-guestrin
