name,url
"Sara Achour

                Assistant Professor",https://profiles.stanford.edu/sara-achour
"Amin Arbabian

                Associate Professor",https://arbabianlab.stanford.edu/
"Nicholas Bambos

                Professor",https://profiles.stanford.edu/nicholas-bambos
"Kwabena Boahen

                Professor",http://web.stanford.edu/group/brainsinsilicon/
"Dan Boneh

                Professor",http://crypto.stanford.edu/~dabo/
"Stephen P. Boyd

                Professor",http://web.stanford.edu/~boyd/
"Joonhee Choi

                Assistant Professor",https://profiles.stanford.edu/joonhee-choi
"Srabanti Chowdhury

                Associate Professor",http://web.stanford.edu/people/srabanti
"Daniel Congreve

                Assistant Professor",https://profiles.stanford.edu/daniel-congreve
"John Duchi

                Associate Professor",https://web.stanford.edu/~jduchi/
"Abbas El Gamal

                Professor",http://isl.stanford.edu/~abbas/
"Dawson Engler

                Associate Professor",http://web.stanford.edu/~engler/
"Jonathan Fan

                Associate Professor",http://fanlab.stanford.edu/people
"Shanhui Fan

                Professor",http://web.stanford.edu/~shanhui/
"Chelsea Finn

                Assistant Professor",https://ai.stanford.edu/~cbfinn
"John L. Hennessy

                Professor",https://profiles.stanford.edu/john-hennessy
"Lambertus Hesselink

                Professor",https://profiles.stanford.edu/lambertus-hesselink
"Mark A. Horowitz

                Professor",https://profiles.stanford.edu/mark-horowitz
"Joseph M. Kahn

                Professor",http://ee.stanford.edu/~jmk/
"Zerina Kapetanovic

                Assistant Professor",https://profiles.stanford.edu/zerina-kapetanovic
"Christos Kozyrakis

                Professor",http://csl.stanford.edu/~christos/
"Siddharth Krishnan

                Assistant Professor",https://krishnan.sites.stanford.edu/
"Sanjay Lall

                Professor",http://lall.stanford.edu/
"Thomas Lee

                Professor",http://smirc.stanford.edu/people.html
"Philip Levis

                Professor",http://csl.stanford.edu/~pal/
"Subhasish Mitra

                Professor",http://web.stanford.edu/~subh/
"Kunle A. Olukotun

                Professor",http://arsenalfc.stanford.edu/kunle/
"Brad Osgood

                Professor",http://ee.stanford.edu/~osgood/
"Ayfer Ozgur

                Associate Professor",http://web.stanford.edu/~aozgur/
"John M. Pauly

                Professor",http://web.stanford.edu/~pauly/
"Piero A. Pianetta

                Professor (Research)",https://profiles.stanford.edu/piero-pianetta
"Mert Pilanci

                Assistant Professor",https://profiles.stanford.edu/mert-pilanci
"Ada Poon

                Associate Professor",http://biosystems.stanford.edu/
"Eric Pop

                Professor",http://poplab.stanford.edu/index.html
"Balaji Prabhakar

                Professor",http://web.stanford.edu/~balaji/
"Priyanka Raina

                Assistant Professor",https://stanfordaccelerate.github.io/
"Ram Rajagopal

                Associate Professor",https://profiles.stanford.edu/ram-rajagopal
"Juan Rivas

                Associate Professor",http://superlab.stanford.edu/
"Mendel Rosenblum

                Professor",http://profiles.stanford.edu/mendel-rosenblum
"Dorsa Sadigh

                Associate Professor",https://profiles.stanford.edu/dorsa-sadigh
"Dustin Schroeder

                Associate Professor",https://www.radioglaciology.com/
"Debbie Senesky

                Associate Professor",http://xlab.stanford.edu
"H. Tom Soh

                Professor",http://sohlab.stanford.edu/
"Olav Solgaard

                Professor",https://profiles.stanford.edu/olav-solgaard
"Shuran Song

                Assistant Professor",https://shurans.github.io/
"Thierry Tambe

                Assistant Professor",https://profiles.stanford.edu/thierry-tambe
"Fouad A. Tobagi

                Professor",http://profiles.stanford.edu/fouad-tobagi
"Caroline Trippel

                Assistant Professor",https://cs.stanford.edu/people/trippel/
"David Tse

                Professor",https://tselab.stanford.edu/
"Benjamin Van Roy

                Professor",http://web.stanford.edu/~bvr/
"Jelena Vuckovic

                Professor",http://web.stanford.edu/~jela/
"Shan X. Wang

                Professor",https://profiles.stanford.edu/shan-wang
"Tsachy Weissman

                Professor",http://web.stanford.edu/~tsachy/
"Gordon Wetzstein

                Associate Professor",http://www.computationalimaging.org/
"Jennifer Widom

                Professor",http://infolab.stanford.edu/~widom/
"H.-S. Philip Wong

                Professor",http://web.stanford.edu/~hspwong/
"Mary Wootters

                Associate Professor",https://sites.google.com/site/marywootters/
"Howard Zebker

                Professor",http://ee.stanford.edu/~zebker/
