name,url
Pamela Hinds,https://msande.stanford.edu/people/pamela-hinds
Itai Ashlagi,https://msande.stanford.edu/people/itai-ashlagi
Nicholas Bambos,https://msande.stanford.edu/people/nicholas-bambos
Jose H. Blanchet,https://msande.stanford.edu/people/jose-blanchet
Margaret Brandeau,https://msande.stanford.edu/people/margaret-brandeau
Thomas Byers,https://msande.stanford.edu/people/tom-byers
Kathleen Eisenhardt,https://msande.stanford.edu/people/kathleen-eisenhardt
Kay Giesecke,https://msande.stanford.edu/people/kay-giesecke
Peter Glynn,https://msande.stanford.edu/people/peter-glynn
Ashish Goel,https://msande.stanford.edu/people/ashish-goel
Ramesh Johari,https://msande.stanford.edu/people/ramesh-johari
Riitta Katila,https://msande.stanford.edu/people/riitta-katila
M Elisabeth Pate-Cornell,https://msande.stanford.edu/people/elisabeth-pate-cornell
Amin Saberi,https://msande.stanford.edu/people/amin-saberi
Benjamin Van Roy,https://msande.stanford.edu/people/benjamin-van-roy
John Weyant,https://msande.stanford.edu/people/john-weyant
Charles (Chuck) Eesley,https://msande.stanford.edu/people/charles-eesley
Markus Pelger,https://msande.stanford.edu/people/markus-pelger
Ross Shachter,https://msande.stanford.edu/people/ross-shachter
Aaron Sidford,https://msande.stanford.edu/people/aaron-sidford
Johan Ugander,https://msande.stanford.edu/people/johan-ugander
Melissa Valentine,https://msande.stanford.edu/people/melissa-valentine
Arvind Karunakaran,https://msande.stanford.edu/people/arvind-karunakaran
Irene Lo,https://msande.stanford.edu/people/irene-lo
Alicia Myles Sheares,https://msande.stanford.edu/people/alicia-sheares
Vasilis Syrgkanis,https://msande.stanford.edu/people/vasilis-syrgkanis
Madeleine Udell,https://msande.stanford.edu/people/madeleine-udell
Ellen Vitercik,https://msande.stanford.edu/people/ellen-vitercik
